Indicator Name,file_path,URL
Federal Reserve System (Fed) Industrial Production m/m,united-states.industrial-production-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/industrial-production-mm/export
ADP Nonfarm Employment Change,NVDA.csv,https://query1.finance.yahoo.com/v7/finance/download/NVDA?period1=916963200&period2=1600128000&interval=1d&events=history
American Funds EuroPacific Growth Fund Class R-6 (RERGX),RERGX.csv,https://query1.finance.yahoo.com/v7/finance/download/RERGX?period1=1241136000&period2=1600300800&interval=1d&events=history
Apple Inc. (AAPL),AAPL.csv,https://query1.finance.yahoo.com/v7/finance/download/AAPL?period1=345427200&period2=1600300800&interval=1d&events=history
Dow Jones Industrial Average (^DJI),^DJI.csv,https://query1.finance.yahoo.com/v7/finance/download/%5EDJI?period1=475804800&period2=1601251200&interval=1d&events=history
Federal Reserve Bank (Fed) of Dallas Manufacturing Index,united-states.dallas-fed-manufacturing-business-index.csv,https://www.mql5.com/en/economic-calendar/united-states/dallas-fed-manufacturing-business-index/export
Federal Reserve System (Fed) Industrial Production m/m,united-states.industrial-production-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/industrial-production-mm/export
Gold Dec 20 (GC=F),GC=F.csv,https://query1.finance.yahoo.com/v7/finance/download/GC=F?period1=967593600&period2=1600300800&interval=1d&events=history
ISM Manufacturing Employment,united-states.ism-manufacturing-employment.csv,https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-employment/export
ISM United States Manufacturing Purchasing Managers Index (PMI),united-states.ism-manufacturing-pmi.csv,https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-pmi/export
Neuberger Berman Mid Cap Growth Fund Class R6 (NRMGX),NRMGX.csv,https://query1.finance.yahoo.com/v7/finance/download/NRMGX?period1=1363305600&period2=1600300800&interval=1d&events=history
NVIDIA Corporation (NVDA),NVDA.csv,https://query1.finance.yahoo.com/v7/finance/download/NVDA?period1=916963200&period2=1600128000&interval=1d&events=history
S&P 500 (^GSPC),^GSPC.csv,https://query1.finance.yahoo.com/v7/finance/download/%5EGSPC?period1=-1325635200&period2=1600300800&interval=1d&events=history
T. Rowe Price Institutional Large Cap Core Growth Fund (TPLGX),TPLGX.csv,https://query1.finance.yahoo.com/v7/finance/download/TPLGX?period1=1568730349&period2=1600352749&interval=1d&events=history
"Tesla, Inc. (TSLA)",TSLA.csv,https://query1.finance.yahoo.com/v7/finance/download/TSLA?period1=1277769600&period2=1600300800&interval=1d&events=history
"The Home Depot, Inc. (HD)",HD.csv,https://query1.finance.yahoo.com/v7/finance/download/HD?period1=369964800&period2=1600300800&interval=1d&events=history
United States Building Permits,united-states.building-permits.csv,https://www.mql5.com/en/economic-calendar/united-states/building-permits/export
United States Gross Domestic Product (GDP) q/q,united-states.gross-domestic-product-qq.csv,https://www.mql5.com/en/economic-calendar/united-states/gross-domestic-product-qq/export
United States Housing Starts m/m,united-states.housing-starts-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/housing-starts-mm/export
Vanguard Institutional Index Fund Institutional Shares (VINIX),VINIX.csv,https://query1.finance.yahoo.com/v7/finance/download/VINIX?period1=649382400&period2=1600300800&interval=1d&events=history
Treasury Yield 10 Years (^TNX),^TNX.csv,https://query1.finance.yahoo.com/v7/finance/download/%5ETNX?period1=-252374400&period2=1600300800&interval=1d&events=history
United States Unemployment Rate,united-states.unemployment-rate.csv ,https://www.mql5.com/en/economic-calendar/united-states/unemployment-rate/export
United States Initial Jobless Claims,united-states.initial-jobless-claims.csv,https://www.mql5.com/en/economic-calendar/united-states/initial-jobless-claims/export
Vanguard Total Bond Market Index Fund Admiral Shares (VBTLX),VBTLX.csv,https://query1.finance.yahoo.com/v7/finance/download/VBTLX?period1=1005523200&period2=1601337600&interval=1d&events=history
