Date	ActualValue	ForecastValue	PreviousValue
2020.11.25	778	727	748
2020.11.19	742	731	711
2020.11.12	709	752	757
2020.11.05	751	770	758
2020.10.29	751	844	791
2020.10.22	787	871	842
2020.10.15	898	840	845
2020.10.08	840	855	849
2020.10.01	837	867	873
2020.09.24	870	874	866
2020.09.17	860	885	893
2020.09.10	884	946	884
2020.09.03	881	1059	1011
2020.08.27	1006	1039	1104
2020.08.20	1106	1078	971
2020.08.13	963	1316	1191
2020.08.06	1186	1435	1435
2020.07.30	1434	1368	1422
2020.07.23	1416	1315	1307
2020.07.16	1300	1379	1310
2020.07.09	1314	1200	1413
2020.07.02	1427	3413	1482
2020.06.25	1480	3613	1540
2020.06.18	1508	3867	1566
2020.06.11	1542	4272	1897
2020.06.04	1877	4048	2126
2020.05.28	2123	41	2446
2020.05.21	2438	-165	2687
2020.05.14	2981	-2482	3176
2020.05.07	3169	6399	3846
2020.04.30	3839	6715	4442
2020.04.23	4427	6351	5237
2020.04.16	5245	4149	6615
2020.04.09	6606	1066	6867
2020.04.02	6648	334	3307
2020.03.26	3283	214	282
2020.03.19	281	214	211
2020.03.12	211	215	215
2020.03.05	216	216	219
2020.02.27	219	216	211
2020.02.20	210	216	206
2020.02.13	205	217	203
2020.02.06	202	217	217
2020.01.30	216	218	223
2020.01.23	211	224	205
2020.01.16	204	224	214
2020.01.09	214	222	223
2020.01.02	222	221	224
2019.12.26	222	217	235
2019.12.19	234	217	252
2019.12.12	252	215	203
2019.12.05	203	216	213
2019.11.27	213	215	228
2019.11.21	227	215	227
2019.11.14	225	213	211
2019.11.07	211	212	219
2019.10.31	218	210	213
2019.10.24	212	209	218
2019.10.17	214	210	210
2019.10.10	210	210	220
2019.10.03	219	209	215
2019.09.26	213	212	210
2019.09.19	208	215	206
2019.09.12	204	216	219
2019.09.05	217	215	216
2019.08.29	215	211	211
2019.08.22	209	212	221
2019.08.15	220	212	211
2019.08.08	209	214	217
2019.08.01	215	216	207
2019.07.25	206	218	216
2019.07.18	216	218	208
2019.07.11	209	219	222
2019.07.03	221	217	229
2019.06.27	227	215	217
2019.06.20	216	217	222
2019.06.13	222	217	219
2019.06.06	218	217	218
2019.05.30	215	214	212
2019.05.23	211	212	212
2019.05.16	212	227	228
2019.05.09	228	214	230
2019.05.02	230	207	230
2019.04.25	230	209	193
