Date	ActualValue	ForecastValue	PreviousValue
2020.11.02	59.3	55.7	55.4
2020.10.01	55.4	50.9	56.0
2020.09.01	56.0	53.4	54.2
2020.08.03	54.2	48.4	52.6
2020.07.01	52.6	47.5	43.1
2020.06.01	43.1	48.5	41.5
2020.05.01	41.5	49.3	49.1
2020.04.01	49.1	48.8	50.1
2020.03.02	50.1	48.2	50.9
2020.02.03	50.9	47.9	47.8
2020.01.03	47.2	48.3	48.1
2019.12.02	48.1	48.9	48.3
2019.11.01	48.3	48.4	47.8
2019.10.01	47.8	50.1	49.1
2019.09.03	49.1	51.4	51.2
2019.08.01	51.2	51.9	51.7
2019.07.01	51.7	52.4	52.1
2019.06.03	52.1	54.1	52.8
2019.05.01	52.8	54.8	55.3
2019.04.01	55.3	55.4	54.2
2019.03.01	54.2	56.1	56.6
2019.02.01	56.6	53.3	54.3
2019.01.03	54.1	58.8	59.3
2018.12.03	59.3	58.8	57.7
2018.11.01	57.7	60.6	59.8
2018.10.01	59.8	62.7	61.3
2018.09.04	61.3	60.0	58.1
2018.08.01	58.1	59.7	60.2
2018.07.02	60.2	56.1	58.7
2018.06.01	58.7	53.7	57.3
2018.05.01	57.3	58.5	59.3
2018.04.02	59.3	62.1	60.8
2018.03.01	60.8	60.8	59.1
2018.02.01	59.1	58.3	59.3
2018.01.03	59.7	56.1	58.2
2017.12.01	58.2	59.8	58.7
2017.11.01	58.7	62.1	60.8
2017.10.02	60.8	60.1	58.8
2017.09.01	58.8	57.4	56.3
2017.08.01	56.3	55.7	57.8
2017.07.03	57.8	53.0	54.9
2017.06.01	54.9	53.8	54.8
2017.05.01	54.8		57.2
2017.04.03	57.2		57.7
2017.03.01	57.7		56.0
2017.02.01	56.0		54.7
2017.01.03	54.7		53.2
2016.12.01	53.2		51.9
2016.11.01	51.9		51.5
2016.10.03	51.5		49.4
2016.09.01	49.4		52.6
2016.08.01	52.6		53.2
2016.07.01	53.2		51.3
2016.06.01	51.3		50.8
2016.05.02	50.8		51.8
2016.04.01	51.8		49.5
2016.03.01	49.5		48.2
2016.02.01	48.2		48.2
2016.01.04	48.2		48.6
2015.12.01	48.6		50.1
2015.11.02	50.1		50.2
2015.10.01	50.2		51.1
2015.09.01	51.1		52.7
2015.08.03	52.7		53.5
2015.07.01	53.5		52.8
2015.06.01	52.8		51.5
2015.05.01	51.5		51.5
2015.04.01	51.5		52.9
2015.03.02	52.9		53.5
2015.02.02	53.5		55.5
2015.01.02	55.5		58.7
2014.12.01	58.7		59.0
2014.11.03	59.0		56.6
2014.10.01	56.6		59.0
2014.09.02	59.0		57.1
2014.08.01	57.1		55.3
2014.07.01	55.3		55.4
2014.06.02	55.4		54.9
2014.05.01	54.9		53.7
2014.04.01	53.7		53.2
2014.03.03	53.2		51.3
2014.02.03	51.3		57.0
2014.01.02	57.0		57.3
2013.12.02	57.3		56.4
2013.11.01	56.4		56.2
2013.10.01	56.2		55.7
2013.09.03	55.7		55.4
2013.08.01	55.4		50.9
2013.07.01	50.9		49.0
2013.06.03	49.0		50.7
2013.05.01	50.7		51.3
2013.04.01	51.3		54.2
2013.03.01	54.2		53.1
2013.02.01	53.1		50.7
2013.01.02	50.2		49.5
2012.12.03	49.9		51.7
2012.11.01	51.7		51.5
2012.10.01	51.6		49.6
2012.09.04	50.7		49.8
2012.08.01	50.5		49.7
2012.07.02	50.2		53.5
2012.06.01	52.5		54.8
2012.05.01	54.1		53.4
2012.04.02	53.3		52.4
2012.03.01	51.9		54.1
2012.02.01	54.1		53.9
2012.01.03	53.1		52.2
2011.12.01	52.2		51.8
2011.11.01	51.8		52.5
2011.10.03	52.5		52.5
2011.09.01	52.5		51.4
2011.08.01	51.4		55.3
2011.07.01	55.3		53.5
2011.06.01	53.5		60.4
2011.05.02	60.4		61.2
2011.04.01	61.2		61.4
2011.03.01	61.4		60.8
2011.02.01	60.8		58.5
2011.01.03	58.5		56.6
2010.12.01	56.6		56.9
2010.11.01	56.9		54.4
2010.10.01	54.4		56.3
2010.09.01	56.3		55.5
2010.08.02	55.5		56.2
2010.07.01	56.2		59.7
2010.06.01	59.7		60.4
2010.05.03	60.4		59.6
2010.04.01	59.6		56.5
2010.03.01	56.5		58.4
2010.02.01	58.4		55.9
2010.01.04	54.9		53.6
2009.12.01	53.6		55.7
2009.11.02	55.7		52.6
2009.10.01	52.6		52.9
2009.09.01	52.9		48.9
2009.08.03	48.9		44.8
2009.07.01	44.8		42.8
2009.06.01	42.8		40.1
2009.05.01	40.1		36.3
2009.04.01	36.3		35.8
2009.03.02	35.8		35.6
2009.02.02	35.6		32.4
2009.01.02	32.4		36.2
2008.12.01	36.2		38.9
2008.11.03	38.9		43.5
2008.10.01	43.5		49.9
2008.09.02	49.9		50.0
2008.08.01	50.0		50.2
2008.07.01	50.2		49.6
2008.06.02	49.6		48.6
2008.05.01	48.6		48.6
2008.04.01	48.6		48.3
2008.03.03	48.3		50.7
2008.02.01	50.7		47.7
2008.01.02	48.4		50.8
2007.12.03	50.8		50.9
2007.11.01	50.9		52.0
2007.10.01	52.0		52.9
2007.09.04	52.9		53.8
2007.08.01	53.8		56.0
2007.07.02	56.0		55.0
2007.06.01	55.0		54.7
2007.05.01	54.7		50.9
2007.04.02	50.9		52.3
2007.03.01	52.3		
