Date	ActualValue	ForecastValue	PreviousValue
2020.10.29	-2.2	-2.1	8.8
2020.09.30	8.8	-2.6	5.9
2020.08.27	5.9	5.8	15.8
2020.07.29	16.6	39.8	44.3
2020.06.29	44.3	1.3	-21.8
2020.05.28	-21.8	-1.1	-20.8
2020.04.29	-20.8	0.7	2.3
2020.03.30	2.4	-0.3	5.3
2020.02.27	5.2	1.8	-4.3
2020.01.29	-4.9	-0.6	1.2
2019.12.30	1.2	0.4	-1.3
2019.11.27	-1.7	-1.6	1.4
2019.10.29	1.5	1.1	1.4
2019.09.26	1.6	-0.6	-2.5
2019.08.29	-2.5	1.1	2.8
2019.07.30	2.8	-1.2	1.1
2019.06.27	1.1	0.9	-1.5
2019.05.30	-1.5	-2.3	3.9
2019.04.30	3.8	-1.0	-1.0
2019.03.28	-1.0	-1.0	4.3
2019.02.27	4.6	1.3	-2.3
2019.01.30	-2.2	-0.7	-0.9
2018.12.28	-0.7	1.7	-2.6
2018.11.29	-2.6	1.7	0.7
2018.10.25	0.5	0.7	-1.9
2018.09.27	-1.8	0.3	-0.8
2018.08.29	-0.7	1.1	1.0
2018.07.30	0.9	1.1	-0.5
2018.06.27	-0.5	0.1	-1.3
2018.05.31	-1.3	0.2	0.6
2018.04.30	0.4	-0.8	2.8
2018.03.28	3.1	0.5	-5.0
2018.02.28	-4.7	-0.7	0.0
2018.01.31	0.5	-0.6	0.3
2017.12.27	0.2	-2.4	3.5
2017.11.29	3.5	2.0	-0.4
2017.10.26	0.0	0.1	-2.8
2017.09.27	-2.6	0.6	-0.8
2017.08.31	-0.8	-1.4	1.3
2017.07.31	1.5	2.0	-0.7
2017.06.28	-0.8	-0.7	-1.7
2017.05.31	-1.3	0.9	-0.9
2017.04.27	-0.8		5.5
2017.03.29	5.5		-2.8
2017.02.27	-2.8		0.8
2017.01.30	1.6		-2.5
2016.12.28	-2.5		0.1
2016.11.30	0.1		1.4
2016.10.27	1.5		-2.5
2016.09.29	-2.4		1.2
2016.08.31	1.3		-0.8
2016.07.27	0.2		-3.7
2016.06.29	-3.7		3.9
2016.05.26	5.1		1.6
2016.04.27	1.4		3.4
2016.03.28	3.5		-3.0
2016.02.29	-2.5		0.9
2016.01.28	0.1		-1.1
2015.12.30	-0.9		0.2
2015.11.30	0.2		-1.6
2015.10.29	-2.3		-1.4
2015.09.28	-1.4		0.5
2015.08.27	0.5		-1.7
2015.07.29	-1.8		0.6
2015.06.29	0.9		2.7
2015.05.28	3.4		1.2
2015.04.29	1.1		3.6
2015.03.30	3.1		1.7
2015.02.27	1.2		-3.7
2015.01.29	-3.7		0.8
2014.12.31	0.6		-1.1
2014.11.26	-1.2		0.3
2014.10.27	0.6		-1.0
2014.09.29	-1.0		3.3
2014.08.28	3.2		-1.1
2014.07.28	-1.3		6.1
2014.06.30	6.0		0.4
2014.05.29	0.5		3.4
2014.04.28	3.4		-0.8
2014.03.27	-0.5		0.1
2014.02.28	-0.2		-8.7
2014.01.30	-5.8		0.2
2013.12.30	-0.3		-0.6
2013.11.25	-1.2		-5.6
2013.10.28	-4.6		-1.6
2013.09.26	-1.6		-1.3
2013.08.28	-1.4		-0.4
2013.07.29	-0.4		6.7
2013.06.27	5.8		0.3
2013.05.30	-0.5		1.5
2013.04.29	1.5		-0.4
2013.03.27	-0.4		4.5
2013.02.27	3.8		-4.3
2013.01.28	-1.9		1.7
2012.12.28	1.6		5.2
2012.11.29	5.0		0.3
2012.10.25	0.4		-2.6
2012.09.27	-2.6		2.4
2012.08.29	2.6		-1.4
2012.07.26	-1.4		5.9
2012.06.27	5.4		-5.5
2012.05.30	-5.5		4.1
2012.04.26	3.8		-0.5
2012.03.26	0.4		2.0
2012.02.27	2.0		-1.9
2012.01.25	-1.9		7.3
2011.12.29	7.3		10.4
2011.11.30	10.4		-4.6
2011.10.27	-4.6		-1.2
2011.09.29	-1.2		-1.3
2011.08.29	-1.3		2.4
2011.07.28	2.4		8.2
2011.06.29	8.2		-11.6
2011.05.27	-11.3		5.1
2011.04.28	3.5		2.1
2011.03.28	0.7		-2.8
2011.02.28	-2.8		2.0
2011.01.27	-3.2		3.1
2010.12.30	3.1		10.4
2010.12.02	10.1		-1.8
2010.11.05	-1.8		4.3
2010.10.04	4.4		5.2
2010.09.02	4.5		-2.6
2010.08.03	-2.6		-30.0
2010.07.01	-29.9		6.0
2010.06.02	6.0		5.3
2010.05.04	7.1		8.2
2010.04.05	8.2		-7.6
2010.03.04	-7.6		1.0
2010.02.02	1.0		-16.0
2010.01.05	-16.4		3.7
2009.12.01	3.9		6.1
2009.11.02	6.0		6.4
2009.10.01	6.4		3.2
2009.09.01	3.2		3.6
2009.08.04	3.6		0.1
2009.07.01	0.1		6.7
2009.06.02	7.1		3.2
2009.05.04	3.2		2.1
2009.04.01	2.1		-7.7
2009.03.03	-7.7		6.3
2009.02.03	4.8		-4.0
2009.01.06	-4.0		-0.7
2008.12.09	-0.7		-4.6
2008.11.07	-4.3		7.4
2008.10.08	7.5		-3.2
2008.09.09	-3.2		5.3
2008.08.07	5.8		-4.7
2008.07.08	-4.7		6.3
2008.06.09	6.3		-1.0
2008.05.07	-1.0		-1.9
2008.04.08	-1.9		0.0
2008.03.06	0.0		-1.5
2008.02.07	-1.5		-2.6
2008.01.08	-2.6		0.6
2007.12.10	3.7		0.2
2007.11.13	0.2		-6.5
2007.10.02	-6.5		-12.2
2007.09.05	-12.2		5.0
2007.08.01	5.0		-3.5
2007.07.03	-3.5		-3.2
2007.06.04	-3.2		
