Day,Date,DJIA_Value,DJIA_Original,DJIA_Avg005,DJIA_Avg030,DJIA_Avg090,DJIA_Avg180,DJIA_Avg365,ISM_MFC_EMP_Value,ISM_MFC_EMP_Original,ISM_MFC_EMP_Avg090,ISM_MFC_EMP_Avg180,ISM_MFC_EMP_Avg365,HOUSE_SRT_MM_Value,HOUSE_SRT_MM_Original,HOUSE_SRT_MM_Avg090,HOUSE_SRT_MM_Avg180,HOUSE_SRT_MM_Avg365,MFC_MPI_Value,MFC_MPI_Original,MFC_MPI_Avg090,MFC_MPI_Avg180,MFC_MPI_Avg365
735975,2016-01-12,8.0,16591.349609,8.4,15.07,17.22,14.76,17.82,32.0,48.1,43.96,54.73,58.93,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,21.21,32.56,42.31
735976,2016-01-13,8.0,16593.509766,8.2,14.83,17.17,14.68,17.79,32.0,48.1,43.74,54.41,58.74,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,21.01,32.29,42.13
735977,2016-01-14,7.0,16482.050781,7.8,14.47,17.09,14.6,17.76,32.0,48.1,43.53,54.09,58.55,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,20.81,32.03,41.96
735978,2016-01-15,6.0,16354.330078,7.2,14.03,17.0,14.51,17.73,32.0,48.1,43.32,53.77,58.37,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,20.61,31.77,41.78
735979,2016-01-16,6.0,16354.330078,7.0,13.6,16.91,14.42,17.7,32.0,48.1,43.11,53.44,58.18,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,20.41,31.51,41.61
735980,2016-01-17,6.0,16354.330078,6.6,13.27,16.82,14.33,17.67,32.0,48.1,42.9,53.12,57.99,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,20.21,31.25,41.43
735981,2016-01-18,6.0,16354.330078,6.2,12.93,16.73,14.26,17.64,32.0,48.1,42.69,52.8,57.81,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,20.01,30.99,41.25
735982,2016-01-19,5.0,16171.959961,5.8,12.57,16.62,14.17,17.61,32.0,48.1,42.48,52.48,57.62,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,19.81,30.73,41.08
735983,2016-01-20,3.0,15989.450195,5.2,12.2,16.47,14.08,17.57,32.0,48.1,42.27,52.16,57.44,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,19.61,30.47,40.9
735984,2016-01-21,3.0,16038.589844,4.6,11.77,16.3,13.99,17.53,32.0,48.1,42.06,51.83,57.25,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,19.41,30.21,40.73
735985,2016-01-22,4.0,16136.790039,4.2,11.33,16.14,13.91,17.49,32.0,48.1,41.84,51.51,57.06,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,19.21,29.94,40.55
735986,2016-01-23,4.0,16136.790039,3.8,10.9,15.99,13.84,17.45,32.0,48.1,41.63,51.19,56.88,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,19.01,29.68,40.38
735987,2016-01-24,4.0,16136.790039,3.6,10.47,15.83,13.76,17.41,32.0,48.1,41.42,50.87,56.69,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,18.81,29.42,40.2
735988,2016-01-25,4.0,16086.459961,3.8,10.03,15.68,13.68,17.37,32.0,48.1,41.21,50.54,56.5,-1.0,-2.5,0.0,0.0,0.0,11.0,48.2,18.61,29.16,40.03
