Day,Date,S&P 500,S&P 500 norm,S&P 500 y/y,S&P 500 y/y norm,S&P 500 m/m,S&P 500 m/m norm
0,1948-03-31,0.0,-8.76,0.0,-8.76,0.0,14.35
30,1948-04-30,0.0,-8.76,0.0,-8.76,0.0,14.35
61,1948-05-31,0.0,-8.76,0.0,-8.76,0.0,14.35
91,1948-06-30,0.0,-8.76,0.0,-8.76,0.0,14.35
122,1948-07-31,0.0,-8.76,0.0,-8.76,0.0,14.35
153,1948-08-31,0.0,-8.76,0.0,-8.76,0.0,14.35
183,1948-09-30,0.0,-8.76,0.0,-8.76,0.0,14.35
214,1948-10-31,0.0,-8.76,0.0,-8.76,0.0,14.35
244,1948-11-30,0.0,-8.76,0.0,-8.76,0.0,14.35
275,1948-12-31,0.0,-8.76,0.0,-8.76,0.0,14.35
306,1949-01-31,0.0,-8.76,0.0,-8.76,0.0,14.35
334,1949-02-28,0.0,-8.76,0.0,-8.76,0.0,14.35
365,1949-03-31,0.0,-8.76,0.0,-8.76,0.0,14.35
395,1949-04-30,0.0,-8.76,0.0,-8.76,0.0,14.35
426,1949-05-31,0.0,-8.76,0.0,-8.76,0.0,14.35
456,1949-06-30,0.0,-8.76,0.0,-8.76,0.0,14.35
487,1949-07-31,0.0,-8.76,0.0,-8.76,0.0,14.35
518,1949-08-31,0.0,-8.76,0.0,-8.76,0.0,14.35
548,1949-09-30,0.0,-8.76,0.0,-8.76,0.0,14.35
579,1949-10-31,0.0,-8.76,0.0,-8.76,0.0,14.35
609,1949-11-30,0.0,-8.76,0.0,-8.76,0.0,14.35
640,1949-12-31,0.0,-8.76,0.0,-8.76,0.0,14.35
671,1950-01-31,0.0,-8.76,0.0,-8.76,0.0,14.35
699,1950-02-28,0.0,-8.76,0.0,-8.76,0.0,14.35
730,1950-03-31,0.0,-8.76,0.0,-8.76,0.0,14.35
760,1950-04-30,0.0,-8.76,0.0,-8.76,0.0,14.35
791,1950-05-31,0.0,-8.76,0.0,-8.76,0.0,14.35
821,1950-06-30,0.0,-8.76,0.0,-8.76,0.0,14.35
852,1950-07-31,0.0,-8.76,0.0,-8.76,0.0,14.35
883,1950-08-31,0.0,-8.76,0.0,-8.76,0.0,14.35
913,1950-09-30,0.0,-8.76,0.0,-8.76,0.0,14.35
944,1950-10-31,0.0,-8.76,0.0,-8.76,0.0,14.35
974,1950-11-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1005,1950-12-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1036,1951-01-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1064,1951-02-28,0.0,-8.76,0.0,-8.76,0.0,14.35
1095,1951-03-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1125,1951-04-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1156,1951-05-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1186,1951-06-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1217,1951-07-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1248,1951-08-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1278,1951-09-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1309,1951-10-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1339,1951-11-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1370,1951-12-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1401,1952-01-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1430,1952-02-29,0.0,-8.76,0.0,-8.76,0.0,14.35
1461,1952-03-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1491,1952-04-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1522,1952-05-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1552,1952-06-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1583,1952-07-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1614,1952-08-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1644,1952-09-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1675,1952-10-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1705,1952-11-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1736,1952-12-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1767,1953-01-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1795,1953-02-28,0.0,-8.76,0.0,-8.76,0.0,14.35
1826,1953-03-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1856,1953-04-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1887,1953-05-31,0.0,-8.76,0.0,-8.76,0.0,14.35
1917,1953-06-30,0.0,-8.76,0.0,-8.76,0.0,14.35
1948,1953-07-31,0.0,-8.76,0.0,-8.76,0.0,14.35
