Date	ActualValue	ForecastValue	PreviousValue
2020.08.05	167	2246	4314
2020.07.01	2369	-12515	3065
2020.06.03	-2760	-9000	-19557
2020.05.06	-20236	167	-149
2020.04.01	-27	216	179
2020.03.04	183	174	209
2020.02.05	291	125	199
2020.01.08	202	125	124
2019.12.04	67	176	121
2019.10.30	125	159	93
2019.10.02	135	137	157
2019.09.05	195	104	142
2019.07.31	156	136	112
2019.07.03	102	156	41
2019.06.05	27	190	271
2019.05.01	275	186	151
2019.04.03	129	221	197
2019.03.06	183	222	300
2019.01.30	213	222	263
2019.01.03	271	210	157
2018.12.06	179	206	225
2018.10.31	227	199	218
2018.10.03	230	187	168
2018.09.06	163	171	217
2018.08.01	219	141	181
2018.07.05	177	159	189
2018.05.30	178	223	163
2018.05.02	204	214	228
2018.04.04	241	204	246
2018.03.07	235	199	244
2018.01.31	234	192	242
2018.01.04	250	188	185
2017.12.06	190	195	235
2017.11.01	235	194	110
2017.10.04	135	192	228
2017.08.30	237	195	201
2017.08.02	178	204	191
2017.07.06	158	245	230
2017.06.01	253	241	174
2017.05.03	177	232	255
2017.04.05	263		245
2017.03.08	298		261
2017.02.01	246		151
2017.01.05	153		215
2016.11.30	216		119
2016.11.02	147		202
2016.10.05	154		175
2016.08.31	177		194
2016.08.03	179		172
2016.07.07	172		168
2016.06.02	173		166
2016.05.04	156		200
2016.03.30	200		205
2016.03.02	214		193
2016.02.03	205		267
2016.01.06	257		211
2015.12.02	217		196
2015.11.04	182		190
2015.09.30	200		186
2015.09.02	190		177
2015.08.05	185		229
2015.07.01	237		203
2015.06.03	201		165
2015.05.06	169		175
2015.04.01	189		212
2015.03.04	214		213
2015.02.04	250		241
2015.01.07	253		208
2014.12.03	227		230
2014.11.05	233		213
2014.10.01	225		204
2014.09.04	202		218
2014.07.30	212		281
2014.07.02	281		179
2014.06.04	179		220
2014.04.30	215		191
2014.04.02	209		139
2014.03.05	178		175
2014.02.05	127		238
2014.01.08	227		215
2013.12.04	229		130
2013.10.30	184		166
2013.10.02	145		176
2013.09.05	159		198
2013.07.31	198		188
2013.07.03	198		135
2013.06.05	134		119
2013.05.01	113		158
2013.04.03	131		198
2013.03.06	237		192
2013.01.30	215		215
2013.01.03	185		118
2012.12.05	118		158
2012.11.01	157		162
2012.10.03	162		201
2012.09.06	189		173
2012.08.01	156		176
2012.07.05	172		133
2012.05.31	133		119
2012.05.02	113		209
2012.04.04	201		216
2012.03.07	230		170
2012.02.01	173		325
2012.01.05	325		206
2011.11.30	204		110
2011.11.02	130		91
2011.10.05	116		91
2011.08.31	89		114
2011.08.03	109		145
2011.07.07	145		38
2011.06.01	36		179
2011.05.04	177		201
2011.03.30	207		208
2011.03.02	208		187
2011.02.02	189		297
2011.01.05	247		93
2010.12.01	92		43
2010.11.03	82		-39
2010.10.06	-2		-10
2010.09.01	10		42
2010.08.04	37		13
2010.06.30	19		55
2010.06.03	55		32
2010.05.05	65		-23
2010.03.31	19		-20
2010.03.03	-24		-22
2010.02.03	-60		-84
2010.01.06	-61		-169
2009.12.02	-169		-203
2009.11.04	-195		-254
2009.09.30	-227		-298
2009.09.02	-277		-371
2009.08.05	-360		-473
2009.07.01	-473		-532
2009.06.03	-485		-491
2009.05.06	-491		-742
2009.04.01	-708		-697
2009.03.04	-697		-522
2009.02.04	-522		-693
2009.01.07	-659		-250
2008.12.03	-476		-157
2008.11.05	-179		-8
2008.10.01	-26		-33
2008.09.04	-37		9
2008.07.30	9		-79
2008.07.02	-77		40
2008.06.04	25		10
2008.04.30	13		8
2008.04.02	3		-23
2008.03.05	-18		130
2008.01.30	119		40
2008.01.03	37		189
2007.12.05	173		106
2007.10.31	119		58
2007.10.03	58		38
2007.09.05	27		48
2007.08.08	48		150
2007.07.05	150		97
2007.05.30	97		64
2007.05.02	61		106
2007.04.04	106		57
2007.03.07	57		
