Day,Date,S&P 500 m/m,Normalized,Predicted
0,1948-03-31,0.0,14.35,
30,1948-04-30,0.0,14.35,
61,1948-05-31,0.0,14.35,
91,1948-06-30,0.0,14.35,
122,1948-07-31,0.0,14.35,
153,1948-08-31,0.0,14.35,
183,1948-09-30,0.0,14.35,
214,1948-10-31,0.0,14.35,
244,1948-11-30,0.0,14.35,
275,1948-12-31,0.0,14.35,
306,1949-01-31,0.0,14.35,
334,1949-02-28,0.0,14.35,
365,1949-03-31,0.0,14.35,
395,1949-04-30,0.0,14.35,
426,1949-05-31,0.0,14.35,
456,1949-06-30,0.0,14.35,
487,1949-07-31,0.0,14.35,
518,1949-08-31,0.0,14.35,
548,1949-09-30,0.0,14.35,
579,1949-10-31,0.0,14.35,
609,1949-11-30,0.0,14.35,
640,1949-12-31,0.0,14.35,
671,1950-01-31,0.0,14.35,
699,1950-02-28,0.0,14.35,
730,1950-03-31,0.0,14.35,
760,1950-04-30,0.0,14.35,
791,1950-05-31,0.0,14.35,
821,1950-06-30,0.0,14.35,
852,1950-07-31,0.0,14.35,
883,1950-08-31,0.0,14.35,
913,1950-09-30,0.0,14.35,
944,1950-10-31,0.0,14.35,
974,1950-11-30,0.0,14.35,
1005,1950-12-31,0.0,14.35,
1036,1951-01-31,0.0,14.35,
1064,1951-02-28,0.0,14.35,
1095,1951-03-31,0.0,14.35,
1125,1951-04-30,0.0,14.35,
1156,1951-05-31,0.0,14.35,
1186,1951-06-30,0.0,14.35,
1217,1951-07-31,0.0,14.35,
1248,1951-08-31,0.0,14.35,
1278,1951-09-30,0.0,14.35,
1309,1951-10-31,0.0,14.35,
1339,1951-11-30,0.0,14.35,
1370,1951-12-31,0.0,14.35,
1401,1952-01-31,0.0,14.35,
1430,1952-02-29,0.0,14.35,
1461,1952-03-31,0.0,14.35,
1491,1952-04-30,0.0,14.35,
1522,1952-05-31,0.0,14.35,
1552,1952-06-30,0.0,14.35,
1583,1952-07-31,0.0,14.35,
1614,1952-08-31,0.0,14.35,
1644,1952-09-30,0.0,14.35,
1675,1952-10-31,0.0,14.35,
1705,1952-11-30,0.0,14.35,
1736,1952-12-31,0.0,14.35,
1767,1953-01-31,0.0,14.35,
1795,1953-02-28,0.0,14.35,
1826,1953-03-31,0.0,14.35,
1856,1953-04-30,0.0,14.35,
1887,1953-05-31,0.0,14.35,
1917,1953-06-30,0.0,14.35,
1948,1953-07-31,0.0,14.35,
1979,1953-08-31,0.0,14.35,
2009,1953-09-30,0.0,14.35,
2040,1953-10-31,0.0,14.35,
2070,1953-11-30,0.0,14.35,
2101,1953-12-31,0.0,14.35,
2132,1954-01-31,0.0,14.35,
2160,1954-02-28,0.0,14.35,
2191,1954-03-31,0.0,14.35,
2221,1954-04-30,0.0,14.35,
2252,1954-05-31,0.0,14.35,
2282,1954-06-30,0.0,14.35,
2313,1954-07-31,0.0,14.35,
2344,1954-08-31,0.0,14.35,
2374,1954-09-30,0.0,14.35,
2405,1954-10-31,0.0,14.35,
2435,1954-11-30,0.0,14.35,
2466,1954-12-31,0.0,14.35,
2497,1955-01-31,0.0,14.35,
2525,1955-02-28,0.0,14.35,
2556,1955-03-31,0.0,14.35,
2586,1955-04-30,0.0,14.35,
2617,1955-05-31,0.0,14.35,
2647,1955-06-30,0.0,14.35,
2678,1955-07-31,0.0,14.35,
2709,1955-08-31,0.0,14.35,
2739,1955-09-30,0.0,14.35,
2770,1955-10-31,0.0,14.35,
2800,1955-11-30,0.0,14.35,
2831,1955-12-31,0.0,14.35,
2862,1956-01-31,0.0,14.35,
2891,1956-02-29,0.0,14.35,
2922,1956-03-31,0.0,14.35,
2952,1956-04-30,0.0,14.35,
2983,1956-05-31,0.0,14.35,
3013,1956-06-30,0.0,14.35,
3044,1956-07-31,0.0,14.35,
3075,1956-08-31,0.0,14.35,
3105,1956-09-30,0.0,14.35,
3136,1956-10-31,0.0,14.35,
3166,1956-11-30,0.0,14.35,
3197,1956-12-31,0.0,14.35,
3198,1957-01-01,0.0,14.35,
3228,1957-01-31,0.0,14.35,
3229,1957-02-01,-0.0326,-2.79,
3256,1957-02-28,-0.0326,-2.79,
3257,1957-03-01,0.0196,24.65,
3287,1957-03-31,0.0196,24.65,
3288,1957-04-01,0.037,33.79,
3317,1957-04-30,0.037,33.79,
3318,1957-05-01,0.0369,33.74,
3348,1957-05-31,0.0369,33.74,
3349,1957-06-01,-0.0013,13.66,
3378,1957-06-30,-0.0013,13.66,
3379,1957-07-01,0.0114,20.34,
3409,1957-07-31,0.0114,20.34,
3410,1957-08-01,-0.0561,-15.13,
3440,1957-08-31,-0.0561,-15.13,
3441,1957-09-01,-0.0619,-18.18,
3470,1957-09-30,-0.0619,-18.18,
3471,1957-10-01,-0.0321,-2.52,
3501,1957-10-31,-0.0321,-2.52,
3502,1957-11-01,0.0161,22.81,
3531,1957-11-30,0.0161,22.81,
3532,1957-12-01,-0.0415,-7.46,
3562,1957-12-31,-0.0415,-7.46,
3563,1958-01-01,0.0428,36.84,
3593,1958-01-31,0.0428,36.84,
3594,1958-02-01,-0.0206,3.52,
3621,1958-02-28,-0.0206,3.52,
3622,1958-03-01,0.0309,30.58,
3652,1958-03-31,0.0309,30.58,
3653,1958-04-01,0.0318,31.06,
3682,1958-04-30,0.0318,31.06,
3683,1958-05-01,0.015,22.23,
3713,1958-05-31,0.015,22.23,
3714,1958-06-01,0.0261,28.06,
3743,1958-06-30,0.0261,28.06,
3744,1958-07-01,0.0431,36.99,
3774,1958-07-31,0.0431,36.99,
3775,1958-08-01,0.0119,20.6,
3805,1958-08-31,0.0119,20.6,
3806,1958-09-01,0.0484,39.78,
3835,1958-09-30,0.0484,39.78,
3836,1958-10-01,0.0254,27.69,
3866,1958-10-31,0.0254,27.69,
3867,1958-11-01,0.0224,26.12,
3896,1958-11-30,0.0224,26.12,
3897,1958-12-01,0.052,41.67,
3927,1958-12-31,0.052,41.67,
3928,1959-01-01,0.0038,16.34,
3958,1959-01-31,0.0038,16.34,
3959,1959-02-01,-0.0002,14.24,
3986,1959-02-28,-0.0002,14.24,
3987,1959-03-01,0.0005,14.61,
4017,1959-03-31,0.0005,14.61,
4018,1959-04-01,0.0388,34.73,
4047,1959-04-30,0.0388,34.73,
4048,1959-05-01,0.0189,24.28,
4078,1959-05-31,0.0189,24.28,
4079,1959-06-01,-0.0036,12.45,
4108,1959-06-30,-0.0036,12.45,
4109,1959-07-01,0.0349,32.69,
4139,1959-07-31,0.0349,32.69,
4140,1959-08-01,-0.015,6.46,
4170,1959-08-31,-0.015,6.46,
4171,1959-09-01,-0.0456,-9.62,
4200,1959-09-30,-0.0456,-9.62,
4201,1959-10-01,0.0113,20.28,
4231,1959-10-31,0.0113,20.28,
4232,1959-11-01,0.0132,21.28,
4261,1959-11-30,0.0132,21.28,
4262,1959-12-01,0.0276,28.85,
4292,1959-12-31,0.0276,28.85,
4293,1960-01-01,-0.0715,-23.23,
4323,1960-01-31,-0.0715,-23.23,
4324,1960-02-01,0.0092,19.18,
4352,1960-02-29,0.0092,19.18,
4353,1960-03-01,-0.0139,7.04,
4383,1960-03-31,-0.0139,7.04,
4384,1960-04-01,-0.0175,5.15,
4413,1960-04-30,-0.0175,5.15,
4414,1960-05-01,0.0269,28.48,
4444,1960-05-31,0.0269,28.48,
4445,1960-06-01,0.0195,24.59,
4474,1960-06-30,0.0195,24.59,
4475,1960-07-01,-0.0248,1.31,
4505,1960-07-31,-0.0248,1.31,
4506,1960-08-01,0.0261,28.06,
4536,1960-08-31,0.0261,28.06,
4537,1960-09-01,-0.0604,-17.39,
4566,1960-09-30,-0.0604,-17.39,
4567,1960-10-01,-0.0024,13.08,
4597,1960-10-31,-0.0024,13.08,
4598,1960-11-01,0.0403,35.52,
4627,1960-11-30,0.0403,35.52,
4628,1960-12-01,0.0463,38.68,
4658,1960-12-31,0.0463,38.68,
4659,1961-01-01,0.0632,47.56,
4689,1961-01-31,0.0632,47.56,
4690,1961-02-01,0.0269,28.48,
4717,1961-02-28,0.0269,28.48,
4718,1961-03-01,0.0255,27.75,
4748,1961-03-31,0.0255,27.75,
4749,1961-04-01,0.0038,16.34,
4778,1961-04-30,0.0038,16.34,
4779,1961-05-01,0.0191,24.38,
4809,1961-05-31,0.0191,24.38,
4810,1961-06-01,-0.0288,-0.79,
4839,1961-06-30,-0.0288,-0.79,
4840,1961-07-01,0.0328,31.58,
4870,1961-07-31,0.0328,31.58,
4871,1961-08-01,0.0196,24.65,
4901,1961-08-31,0.0196,24.65,
4902,1961-09-01,-0.0197,3.99,
4931,1961-09-30,-0.0197,3.99,
4932,1961-10-01,0.0283,29.22,
4962,1961-10-31,0.0283,29.22,
4963,1961-11-01,0.0393,35.0,
4992,1961-11-30,0.0393,35.0,
4993,1961-12-01,0.0032,16.03,
5023,1961-12-31,0.0032,16.03,
5024,1962-01-01,-0.0379,-5.57,
5054,1962-01-31,-0.0379,-5.57,
5055,1962-02-01,0.0163,22.91,
5082,1962-02-28,0.0163,22.91,
5083,1962-03-01,-0.0059,11.25,
5113,1962-03-31,-0.0059,11.25,
5114,1962-04-01,-0.062,-18.23,
5143,1962-04-30,-0.062,-18.23,
5144,1962-05-01,-0.086,-30.85,
5174,1962-05-31,-0.086,-30.85,
5175,1962-06-01,-0.0818,-28.64,
5204,1962-06-30,-0.0818,-28.64,
5205,1962-07-01,0.0636,47.77,
5235,1962-07-31,0.0636,47.77,
5236,1962-08-01,0.0153,22.39,
5266,1962-08-31,0.0153,22.39,
5267,1962-09-01,-0.0482,-10.98,
5296,1962-09-30,-0.0482,-10.98,
5297,1962-10-01,0.0044,16.66,
5327,1962-10-31,0.0044,16.66,
5328,1962-11-01,0.1016,67.74,
5357,1962-11-30,0.1016,67.74,
5358,1962-12-01,0.0135,21.44,
5388,1962-12-31,0.0135,21.44,
5389,1963-01-01,0.0491,40.15,
5419,1963-01-31,0.0491,40.15,
5420,1963-02-01,-0.0289,-0.84,
5447,1963-02-28,-0.0289,-0.84,
5448,1963-03-01,0.0355,33.0,
5478,1963-03-31,0.0355,33.0,
5479,1963-04-01,0.0485,39.83,
5508,1963-04-30,0.0485,39.83,
5509,1963-05-01,0.0143,21.86,
5539,1963-05-31,0.0143,21.86,
5540,1963-06-01,-0.0202,3.73,
5569,1963-06-30,-0.0202,3.73,
5570,1963-07-01,-0.0035,12.51,
5600,1963-07-31,-0.0035,12.51,
5601,1963-08-01,0.0487,39.94,
5631,1963-08-31,0.0487,39.94,
5632,1963-09-01,-0.011,8.57,
5661,1963-09-30,-0.011,8.57,
5662,1963-10-01,0.0322,31.27,
5692,1963-10-31,0.0322,31.27,
5693,1963-11-01,-0.0105,8.83,
5722,1963-11-30,-0.0105,8.83,
5723,1963-12-01,0.0244,27.17,
5753,1963-12-31,0.0244,27.17,
5754,1964-01-01,0.0269,28.48,
5784,1964-01-31,0.0269,28.48,
5785,1964-02-01,0.0099,19.55,
5813,1964-02-29,0.0099,19.55,
5814,1964-03-01,0.0152,22.33,
5844,1964-03-31,0.0152,22.33,
5845,1964-04-01,0.0061,17.55,
5874,1964-04-30,0.0061,17.55,
5875,1964-05-01,0.0115,20.39,
5905,1964-05-31,0.0115,20.39,
5906,1964-06-01,0.0164,22.96,
5935,1964-06-30,0.0164,22.96,
5936,1964-07-01,0.0182,23.91,
5966,1964-07-31,0.0182,23.91,
5967,1964-08-01,-0.0162,5.83,
5997,1964-08-31,-0.0162,5.83,
5998,1964-09-01,0.0287,29.43,
6027,1964-09-30,0.0287,29.43,
6028,1964-10-01,0.0081,18.6,
6058,1964-10-31,0.0081,18.6,
6059,1964-11-01,-0.0052,11.61,
6088,1964-11-30,-0.0052,11.61,
6089,1964-12-01,0.0039,16.4,
