Day,Date,S&P 500 y/y,Normalized,Predicted
0,1948-03-31,0.0,-8.76,
30,1948-04-30,0.0,-8.76,
61,1948-05-31,0.0,-8.76,
91,1948-06-30,0.0,-8.76,
122,1948-07-31,0.0,-8.76,
153,1948-08-31,0.0,-8.76,
183,1948-09-30,0.0,-8.76,
214,1948-10-31,0.0,-8.76,
244,1948-11-30,0.0,-8.76,
275,1948-12-31,0.0,-8.76,
306,1949-01-31,0.0,-8.76,
334,1949-02-28,0.0,-8.76,
365,1949-03-31,0.0,-8.76,
395,1949-04-30,0.0,-8.76,
426,1949-05-31,0.0,-8.76,
456,1949-06-30,0.0,-8.76,
487,1949-07-31,0.0,-8.76,
518,1949-08-31,0.0,-8.76,
548,1949-09-30,0.0,-8.76,
579,1949-10-31,0.0,-8.76,
609,1949-11-30,0.0,-8.76,
640,1949-12-31,0.0,-8.76,
671,1950-01-31,0.0,-8.76,
699,1950-02-28,0.0,-8.76,
730,1950-03-31,0.0,-8.76,
760,1950-04-30,0.0,-8.76,
791,1950-05-31,0.0,-8.76,
821,1950-06-30,0.0,-8.76,
852,1950-07-31,0.0,-8.76,
883,1950-08-31,0.0,-8.76,
913,1950-09-30,0.0,-8.76,
944,1950-10-31,0.0,-8.76,
974,1950-11-30,0.0,-8.76,
1005,1950-12-31,0.0,-8.76,
1036,1951-01-31,0.0,-8.76,
1064,1951-02-28,0.0,-8.76,
1095,1951-03-31,0.0,-8.76,
1125,1951-04-30,0.0,-8.76,
1156,1951-05-31,0.0,-8.76,
1186,1951-06-30,0.0,-8.76,
1217,1951-07-31,0.0,-8.76,
1248,1951-08-31,0.0,-8.76,
1278,1951-09-30,0.0,-8.76,
1309,1951-10-31,0.0,-8.76,
1339,1951-11-30,0.0,-8.76,
1370,1951-12-31,0.0,-8.76,
1401,1952-01-31,0.0,-8.76,
1430,1952-02-29,0.0,-8.76,
1461,1952-03-31,0.0,-8.76,
1491,1952-04-30,0.0,-8.76,
1522,1952-05-31,0.0,-8.76,
1552,1952-06-30,0.0,-8.76,
1583,1952-07-31,0.0,-8.76,
1614,1952-08-31,0.0,-8.76,
1644,1952-09-30,0.0,-8.76,
1675,1952-10-31,0.0,-8.76,
1705,1952-11-30,0.0,-8.76,
1736,1952-12-31,0.0,-8.76,
1767,1953-01-31,0.0,-8.76,
1795,1953-02-28,0.0,-8.76,
1826,1953-03-31,0.0,-8.76,
1856,1953-04-30,0.0,-8.76,
1887,1953-05-31,0.0,-8.76,
1917,1953-06-30,0.0,-8.76,
1948,1953-07-31,0.0,-8.76,
1979,1953-08-31,0.0,-8.76,
2009,1953-09-30,0.0,-8.76,
2040,1953-10-31,0.0,-8.76,
2070,1953-11-30,0.0,-8.76,
2101,1953-12-31,0.0,-8.76,
2132,1954-01-31,0.0,-8.76,
2160,1954-02-28,0.0,-8.76,
2191,1954-03-31,0.0,-8.76,
2221,1954-04-30,0.0,-8.76,
2252,1954-05-31,0.0,-8.76,
2282,1954-06-30,0.0,-8.76,
2313,1954-07-31,0.0,-8.76,
2344,1954-08-31,0.0,-8.76,
2374,1954-09-30,0.0,-8.76,
2405,1954-10-31,0.0,-8.76,
2435,1954-11-30,0.0,-8.76,
2466,1954-12-31,0.0,-8.76,
2497,1955-01-31,0.0,-8.76,
2525,1955-02-28,0.0,-8.76,
2556,1955-03-31,0.0,-8.76,
2586,1955-04-30,0.0,-8.76,
2617,1955-05-31,0.0,-8.76,
2647,1955-06-30,0.0,-8.76,
2678,1955-07-31,0.0,-8.76,
2709,1955-08-31,0.0,-8.76,
2739,1955-09-30,0.0,-8.76,
2770,1955-10-31,0.0,-8.76,
2800,1955-11-30,0.0,-8.76,
2831,1955-12-31,0.0,-8.76,
2862,1956-01-31,0.0,-8.76,
2891,1956-02-29,0.0,-8.76,
2922,1956-03-31,0.0,-8.76,
2952,1956-04-30,0.0,-8.76,
2983,1956-05-31,0.0,-8.76,
3013,1956-06-30,0.0,-8.76,
3044,1956-07-31,0.0,-8.76,
3075,1956-08-31,0.0,-8.76,
3105,1956-09-30,0.0,-8.76,
3136,1956-10-31,0.0,-8.76,
3166,1956-11-30,0.0,-8.76,
3197,1956-12-31,0.0,-8.76,
3198,1957-01-01,0.0,-8.76,
3228,1957-01-31,0.0,-8.76,
3229,1957-02-01,0.0,-8.76,
3256,1957-02-28,0.0,-8.76,
3257,1957-03-01,0.0,-8.76,
