Date	ActualValue	ForecastValue	PreviousValue
2020.09.15	0.4	3.4	3.5
2020.08.14	3.0	1.3	5.7
2020.07.15	5.4	2.3	1.4
2020.06.16	1.4	-18.0	-12.5
2020.05.15	-11.2	0.5	-4.5
2020.04.15	-5.4	-0.1	0.5
2020.03.17	0.6	0.2	-0.5
2020.02.14	-0.3	-0.1	-0.4
2020.01.17	-0.3	-0.2	0.8
2019.12.17	1.1	0.0	-0.9
2019.11.15	-0.8	-0.3	-0.3
2019.10.17	-0.4	-0.1	0.8
2019.09.17	0.6	-0.2	-0.1
2019.08.15	-0.2	-0.3	0.2
2019.07.16	0.0	-0.3	0.4
2019.06.14	0.4	-0.2	-0.4
2019.05.15	-0.5	-0.3	0.2
2019.04.16	-0.1	-0.1	0.1
2019.03.15	0.1	-0.1	-0.4
2019.02.15	-0.6	0.0	0.1
2019.01.18	0.3	0.2	0.4
2018.12.14	0.6	0.1	-0.2
2018.11.16	0.1	0.2	0.2
2018.10.16	0.3	0.4	0.4
2018.09.14	0.4	0.3	0.4
2018.08.15	0.1	0.3	1.0
2018.07.17	0.6	0.4	-0.5
2018.06.15	-0.1	0.3	0.9
2018.05.16	0.7	0.2	0.7
2018.04.17	0.5	0.3	1.0
2018.03.16	1.1	0.1	-0.3
2018.02.15	-0.1	0.1	0.4
2018.01.17	0.9	0.3	-0.1
2017.12.15	0.2	0.0	1.2
2017.11.16	0.9	0.0	0.4
2017.10.17	0.3	0.1	-0.7
2017.09.15	-0.9	0.2	0.4
2017.08.17	0.2	0.2	0.4
2017.07.14	0.4	0.2	0.1
2017.06.15	0.0	0.2	1.1
2017.05.16	1.0	0.1	0.4
2017.04.18	0.5		0.1
2017.03.17	0.0		-0.1
2017.02.15	-0.3		0.8
2017.01.18	0.8		-0.7
2016.12.14	-0.4		0.1
2016.11.16	0.0		-0.2
2016.10.17	0.1		-0.5
2016.09.15	-0.4		0.6
2016.08.16	0.7		0.4
2016.07.15	0.6		-0.3
2016.06.15	-0.4		0.6
2016.05.17	0.7		-0.9
2016.04.15	-0.6		-0.6
2016.03.16	-0.5		0.8
2016.02.17	0.9		-0.7
2016.01.15	-0.4		-0.9
2015.12.16	-0.6		-0.4
2015.11.17	-0.2		-0.2
2015.10.16	-0.2		-0.1
2015.09.15	-0.4		0.9
2015.08.14	0.6		0.3
2015.07.15	0.3		-0.2
2015.06.15	-0.2		-0.5
2015.05.15	-0.3		-0.3
2015.04.15	-0.6		0.1
2015.03.16	0.1		0.2
2015.02.18	-0.3		-0.1
2015.01.16	-0.3		1.3
2014.12.15	1.3		-0.1
2014.11.17	0.1		1.0
2014.10.16	0.8		-0.1
2014.09.15	-0.2		0.4
2014.08.15	0.2		0.2
2014.07.16	0.4		0.6
2014.06.16	0.5		-0.6
2014.05.15	-0.3		0.7
2014.04.16	0.9		0.6
2014.03.17	1.2		-0.3
2014.02.14	-0.2		0.3
2014.01.17	0.3		1.1
2013.12.16	1.1		-0.1
2013.11.15	-0.1		0.6
2013.10.28	0.7		0.4
2013.09.16	0.4		0.0
2013.08.15	0.0		0.3
2013.07.16	0.2		0.0
2013.06.14	0.0		-0.5
2013.05.15	-0.4		0.4
2013.04.16	0.3		0.7
2013.03.15	0.8		-0.1
2013.02.15	0.0		0.3
2013.01.16	0.4		1.1
2012.12.14	1.0		-0.4
2012.11.16	-0.7		0.4
2012.10.16	0.2		-1.2
2012.09.14	-1.4		0.6
2012.08.15	0.5		0.4
2012.07.17	0.1		-0.1
2012.06.15	-0.2		1.1
2012.05.16	1.0		0.0
2012.04.17	-0.6		0.0
2012.03.16	0.0		0.0
2012.02.15	0.4		0.4
2012.01.18	1.0		-0.3
2011.12.15	-0.3		0.7
2011.11.16	0.7		0.2
2011.10.17	-0.1		0.0
2011.09.15	0.0		0.9
2011.08.16	0.9		0.2
2011.07.15	0.4		0.1
2011.06.15	-0.1		0.0
2011.05.17	0.0		0.8
2011.04.15	0.7		-0.1
2011.03.17	0.1		-0.1
2011.02.16	0.3		0.8
2011.01.14	1.2		0.4
2010.12.15	0.3		0.0
2010.11.16	-0.2		-0.2
2010.10.18	-0.2		0.2
2010.09.15	0.2		1.0
2010.08.17	1.0		0.1
2010.07.15	-0.1		1.3
2010.06.16	1.3		0.8
2010.05.14	0.7		0.1
2010.04.15	0.2		0.1
2010.03.15	0.3		0.9
2010.02.17	0.9		0.6
2010.01.15	0.7		0.8
2009.12.15	0.6		0.1
2009.11.17	0.0		0.7
2009.10.16	0.6		0.8
2009.09.16	1.2		0.5
2009.08.14	1.0		-0.4
2009.07.15	-0.4		-1.1
2009.06.16	-1.2		-0.5
2009.05.15	-0.7		-1.5
2009.04.15	-1.7		-1.4
2009.03.16	-1.5		-1.8
2009.02.18	-1.9		-2.0
2009.01.16	-2.4		-0.6
2008.12.15	-1.3		1.3
2008.11.17	1.5		-2.8
2008.10.16	-3.7		-1.1
2008.09.15	-1.0		0.2
2008.08.15	0.1		0.5
2008.07.16	0.4		-0.2
2008.06.17	-0.2		-0.7
2008.05.15	-0.7		0.3
2008.04.16	0.2		-0.5
2008.03.17	-0.7		0.1
2008.02.15	0.1		0.0
2008.01.16	0.1		0.3
2007.12.14	0.3		-0.5
2007.11.16	-0.7		0.1
2007.10.16	0.2		0.2
2007.09.14	0.0		0.3
2007.08.15	0.5		0.5
2007.07.17	0.6		-0.1
2007.06.15	-0.1		0.7
2007.05.16	0.4		-0.2
2007.04.17	-0.3		1.0
2007.03.16	1.0		-0.5
2007.02.15	-0.3		
