Day,Date,ISM Manufacturing,GDP q/q,S&P500,S&P500 y/y,S&P500 m/m,GDP q/q norm,S&P500 norm,S&P500 m/m norm,S&P500 m/m norm_1
0,1948-03-31,43.3,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1948-04-30,45.4,0.062,0.0,0.0,0.0,,,,
61,1948-05-31,49.5,0.062,0.0,0.0,0.0,,,,
91,1948-06-30,53.0,0.068,0.0,0.0,0.0,,,,
122,1948-07-31,48.4,0.068,0.0,0.0,0.0,,,,
153,1948-08-31,45.1,0.068,0.0,0.0,0.0,,,,
183,1948-09-30,42.1,0.023,0.0,0.0,0.0,,,,
214,1948-10-31,47.2,0.023,0.0,0.0,0.0,,,,
244,1948-11-30,42.4,0.023,0.0,0.0,0.0,,,,
275,1948-12-31,35.0,0.004,0.0,0.0,0.0,,,,
306,1949-01-31,32.9,0.004,0.0,0.0,0.0,,,,
334,1949-02-28,31.3,0.004,0.0,0.0,0.0,,,,
365,1949-03-31,34.5,-0.054,0.0,0.0,0.0,,,,
395,1949-04-30,35.5,-0.054,0.0,0.0,0.0,,,,
426,1949-05-31,32.6,-0.054,0.0,0.0,0.0,,,,
456,1949-06-30,31.6,-0.014,0.0,0.0,0.0,,,,
487,1949-07-31,39.0,-0.014,0.0,0.0,0.0,,,,
518,1949-08-31,47.0,-0.014,0.0,0.0,0.0,,,,
548,1949-09-30,52.3,0.042,0.0,0.0,0.0,,,,
579,1949-10-31,51.0,0.042,0.0,0.0,0.0,,,,
609,1949-11-30,51.0,0.042,0.0,0.0,0.0,,,,
640,1949-12-31,57.3,-0.033,0.0,0.0,0.0,,,,
671,1950-01-31,59.1,-0.033,0.0,0.0,0.0,,,,
699,1950-02-28,60.5,-0.033,0.0,0.0,0.0,,,,
730,1950-03-31,62.1,0.167,0.0,0.0,0.0,,,,
760,1950-04-30,68.1,0.167,0.0,0.0,0.0,,,,
791,1950-05-31,74.7,0.167,0.0,0.0,0.0,,,,
821,1950-06-30,76.6,0.128,0.0,0.0,0.0,,,,
852,1950-07-31,77.5,0.128,0.0,0.0,0.0,,,,
883,1950-08-31,75.8,0.128,0.0,0.0,0.0,,,,
913,1950-09-30,68.1,0.164,0.0,0.0,0.0,,,,
944,1950-10-31,59.2,0.164,0.0,0.0,0.0,,,,
974,1950-11-30,63.1,0.164,0.0,0.0,0.0,,,,
1005,1950-12-31,67.1,0.079,0.0,0.0,0.0,,,,
1036,1951-01-31,67.8,0.079,0.0,0.0,0.0,,,,
1064,1951-02-28,69.3,0.079,0.0,0.0,0.0,,,,
1095,1951-03-31,65.5,0.055,0.0,0.0,0.0,,,,
1125,1951-04-30,53.5,0.055,0.0,0.0,0.0,,,,
1156,1951-05-31,50.7,0.055,0.0,0.0,0.0,,,,
1186,1951-06-30,45.5,0.071,0.0,0.0,0.0,,,,
1217,1951-07-31,42.1,0.071,0.0,0.0,0.0,,,,
1248,1951-08-31,43.6,0.071,0.0,0.0,0.0,,,,
1278,1951-09-30,48.1,0.085,0.0,0.0,0.0,,,,
1309,1951-10-31,49.6,0.085,0.0,0.0,0.0,,,,
1339,1951-11-30,47.2,0.085,0.0,0.0,0.0,,,,
1370,1951-12-31,46.5,0.009,0.0,0.0,0.0,,,,
1401,1952-01-31,44.7,0.009,0.0,0.0,0.0,,,,
1430,1952-02-29,41.8,0.009,0.0,0.0,0.0,,,,
1461,1952-03-31,40.0,0.043,0.0,0.0,0.0,,,,
1491,1952-04-30,36.7,0.043,0.0,0.0,0.0,,,,
1522,1952-05-31,39.5,0.043,0.0,0.0,0.0,,,,
1552,1952-06-30,43.3,0.009,0.0,0.0,0.0,,,,
1583,1952-07-31,48.3,0.009,0.0,0.0,0.0,,,,
1614,1952-08-31,60.4,0.009,0.0,0.0,0.0,,,,
1644,1952-09-30,56.1,0.029,0.0,0.0,0.0,,,,
1675,1952-10-31,56.2,0.029,0.0,0.0,0.0,,,,
1705,1952-11-30,56.8,0.029,0.0,0.0,0.0,,,,
1736,1952-12-31,55.8,0.138,0.0,0.0,0.0,,,,
1767,1953-01-31,59.4,0.138,0.0,0.0,0.0,,,,
1795,1953-02-28,55.4,0.138,0.0,0.0,0.0,,,,
1826,1953-03-31,50.5,0.076,0.0,0.0,0.0,,,,
1856,1953-04-30,51.1,0.076,0.0,0.0,0.0,,,,
1887,1953-05-31,48.9,0.076,0.0,0.0,0.0,,,,
1917,1953-06-30,48.5,0.031,0.0,0.0,0.0,,,,
1948,1953-07-31,46.3,0.031,0.0,0.0,0.0,,,,
1979,1953-08-31,43.5,0.031,0.0,0.0,0.0,,,,
2009,1953-09-30,40.2,-0.022,0.0,0.0,0.0,,,,
2040,1953-10-31,37.4,-0.022,0.0,0.0,0.0,,,,
2070,1953-11-30,36.9,-0.022,0.0,0.0,0.0,,,,
2101,1953-12-31,35.6,-0.059,0.0,0.0,0.0,,,,
2132,1954-01-31,37.4,-0.059,0.0,0.0,0.0,,,,
2160,1954-02-28,40.7,-0.059,0.0,0.0,0.0,,,,
2191,1954-03-31,44.7,-0.019,0.0,0.0,0.0,,,,
2221,1954-04-30,47.7,-0.019,0.0,0.0,0.0,,,,
2252,1954-05-31,50.1,-0.019,0.0,0.0,0.0,,,,
2282,1954-06-30,52.1,0.004,0.0,0.0,0.0,,,,
2313,1954-07-31,51.7,0.004,0.0,0.0,0.0,,,,
2344,1954-08-31,54.4,0.004,0.0,0.0,0.0,,,,
2374,1954-09-30,53.5,0.046,0.0,0.0,0.0,,,,
2405,1954-10-31,58.2,0.046,0.0,0.0,0.0,,,,
2435,1954-11-30,58.8,0.046,0.0,0.0,0.0,,,,
2466,1954-12-31,63.8,0.081,0.0,0.0,0.0,,,,
2497,1955-01-31,63.0,0.081,0.0,0.0,0.0,,,,
2525,1955-02-28,67.8,0.081,0.0,0.0,0.0,,,,
2556,1955-03-31,67.5,0.119,0.0,0.0,0.0,,,,
2586,1955-04-30,68.7,0.119,0.0,0.0,0.0,,,,
2617,1955-05-31,69.5,0.119,0.0,0.0,0.0,,,,
2647,1955-06-30,63.3,0.067,0.0,0.0,0.0,,,,
2678,1955-07-31,66.2,0.067,0.0,0.0,0.0,,,,
2709,1955-08-31,64.8,0.067,0.0,0.0,0.0,,,,
2739,1955-09-30,62.4,0.055,0.0,0.0,0.0,,,,
2770,1955-10-31,63.7,0.055,0.0,0.0,0.0,,,,
2800,1955-11-30,62.0,0.055,0.0,0.0,0.0,,,,
2831,1955-12-31,65.6,0.024,0.0,0.0,0.0,,,,
2862,1956-01-31,60.2,0.024,0.0,0.0,0.0,,,,
2891,1956-02-29,58.2,0.024,0.0,0.0,0.0,,,,
2922,1956-03-31,57.2,-0.015,0.0,0.0,0.0,,,,
2952,1956-04-30,55.9,-0.015,0.0,0.0,0.0,,,,
2983,1956-05-31,51.2,-0.015,0.0,0.0,0.0,,,,
3013,1956-06-30,47.7,0.033,0.0,0.0,0.0,,,,
3044,1956-07-31,44.2,0.033,0.0,0.0,0.0,,,,
3075,1956-08-31,51.5,0.033,0.0,0.0,0.0,,,,
3105,1956-09-30,55.5,-0.004,0.0,0.0,0.0,,,,
3136,1956-10-31,52.7,-0.004,0.0,0.0,0.0,,,,
3166,1956-11-30,55.0,-0.004,0.0,0.0,0.0,,,,
3197,1956-12-31,52.7,0.067,0.0,0.0,0.0,,,,
3198,1957-01-01,53.6,0.067,44.72,0.0,0.0,,,,
3228,1957-01-31,53.6,0.067,44.72,0.0,0.0,,,,
3229,1957-02-01,51.0,0.067,43.26,0.0,-3.26%,,,,
3256,1957-02-28,51.0,0.067,43.26,0.0,-3.26%,,,,
3257,1957-03-01,47.5,0.067,44.11,0.0,1.96%,,,,
3287,1957-03-31,47.5,0.026,44.11,0.0,1.96%,,,,
3288,1957-04-01,43.1,0.026,45.74,0.0,3.70%,,,,
3317,1957-04-30,43.1,0.026,45.74,0.0,3.70%,,,,
3318,1957-05-01,43.4,0.026,47.43,0.0,3.69%,,,,
3348,1957-05-31,43.4,0.026,47.43,0.0,3.69%,,,,
3349,1957-06-01,45.9,0.026,47.37,0.0,-0.13%,,,,
3378,1957-06-30,45.9,-0.009,47.37,0.0,-0.13%,,,,
3379,1957-07-01,45.7,-0.009,47.91,0.0,1.14%,,,,
3409,1957-07-31,45.7,-0.009,47.91,0.0,1.14%,,,,
3410,1957-08-01,45.3,-0.009,45.22,0.0,-5.61%,,,,
3440,1957-08-31,45.3,-0.009,45.22,0.0,-5.61%,,,,
3441,1957-09-01,45.8,-0.009,42.42,0.0,-6.19%,,,,
3470,1957-09-30,45.8,0.04,42.42,0.0,-6.19%,,,,
3471,1957-10-01,41.1,0.04,41.06,0.0,-3.21%,,,,
3501,1957-10-31,41.1,0.04,41.06,0.0,-3.21%,,,,
3502,1957-11-01,40.4,0.04,41.72,0.0,1.61%,,,,
3531,1957-11-30,40.4,0.04,41.72,0.0,1.61%,,,,
3532,1957-12-01,36.8,0.04,39.99,0.0,-4.15%,,,,
3562,1957-12-31,36.8,-0.041,39.99,0.0,-4.15%,,,,
3563,1958-01-01,33.4,-0.041,41.7,-6.75%,4.28%,,,,
3593,1958-01-31,33.4,-0.041,41.7,-6.75%,4.28%,,,,
3594,1958-02-01,37.2,-0.041,40.84,-5.59%,-2.06%,,,,
3621,1958-02-28,37.2,-0.041,40.84,-5.59%,-2.06%,,,,
3622,1958-03-01,39.8,-0.041,42.1,-4.56%,3.09%,,,,
3652,1958-03-31,39.8,-0.1,42.1,-4.56%,3.09%,,,,
3653,1958-04-01,39.1,-0.1,43.44,-5.03%,3.18%,,,,
3682,1958-04-30,39.1,-0.1,43.44,-5.03%,3.18%,,,,
3683,1958-05-01,46.6,-0.1,44.09,-7.04%,1.50%,,,,
3713,1958-05-31,46.6,-0.1,44.09,-7.04%,1.50%,,,,
3714,1958-06-01,51.4,-0.1,45.24,-4.50%,2.61%,,,,
3743,1958-06-30,51.4,0.027,45.24,-4.50%,2.61%,,,,
3744,1958-07-01,54.7,0.027,47.19,-1.50%,4.31%,,,,
3774,1958-07-31,54.7,0.027,47.19,-1.50%,4.31%,,,,
3775,1958-08-01,57.3,0.027,47.75,5.59%,1.19%,,,,
3805,1958-08-31,57.3,0.027,47.75,5.59%,1.19%,,,,
3806,1958-09-01,59.8,0.027,50.06,18.01%,4.84%,,,,
3835,1958-09-30,59.8,0.096,50.06,18.01%,4.84%,,,,
3836,1958-10-01,62.3,0.096,51.33,25.01%,2.54%,,,,
3866,1958-10-31,62.3,0.096,51.33,25.01%,2.54%,,,,
3867,1958-11-01,62.7,0.096,52.48,25.79%,2.24%,,,,
3896,1958-11-30,62.7,0.096,52.48,25.79%,2.24%,,,,
3897,1958-12-01,60.5,0.096,55.21,38.06%,5.20%,,,,
3927,1958-12-31,60.5,0.097,55.21,38.06%,5.20%,,,,
3928,1959-01-01,64.4,0.097,55.42,32.90%,0.38%,,,,
3958,1959-01-31,64.4,0.097,55.42,32.90%,0.38%,,,,
3959,1959-02-01,66.9,0.097,55.41,35.68%,-0.02%,,,,
3986,1959-02-28,66.9,0.097,55.41,35.68%,-0.02%,,,,
3987,1959-03-01,67.1,0.097,55.44,31.69%,0.05%,,,,
4017,1959-03-31,67.1,0.079,55.44,31.69%,0.05%,,,,
4018,1959-04-01,66.9,0.079,57.59,32.57%,3.88%,,,,
4047,1959-04-30,66.9,0.079,57.59,32.57%,3.88%,,,,
4048,1959-05-01,68.2,0.079,58.68,33.09%,1.89%,,,,
4078,1959-05-31,68.2,0.079,58.68,33.09%,1.89%,,,,
4079,1959-06-01,64.4,0.079,58.47,29.24%,-0.36%,,,,
4108,1959-06-30,64.4,0.093,58.47,29.24%,-0.36%,,,,
4109,1959-07-01,61.5,0.093,60.51,28.23%,3.49%,,,,
4139,1959-07-31,61.5,0.093,60.51,28.23%,3.49%,,,,
4140,1959-08-01,55.1,0.093,59.6,24.82%,-1.50%,,,,
4170,1959-08-31,55.1,0.093,59.6,24.82%,-1.50%,,,,
4171,1959-09-01,48.3,0.093,56.88,13.62%,-4.56%,,,,
4200,1959-09-30,48.3,0.003,56.88,13.62%,-4.56%,,,,
4201,1959-10-01,49.7,0.003,57.52,12.06%,1.13%,,,,
4231,1959-10-31,49.7,0.003,57.52,12.06%,1.13%,,,,
4232,1959-11-01,50.6,0.003,58.28,11.05%,1.32%,,,,
4261,1959-11-30,50.6,0.003,58.28,11.05%,1.32%,,,,
4262,1959-12-01,58.2,0.003,59.89,8.48%,2.76%,,,,
4292,1959-12-31,58.2,0.011,59.89,8.48%,2.76%,,,,
4293,1960-01-01,61.5,0.011,55.61,0.34%,-7.15%,,,,
4323,1960-01-31,61.5,0.011,55.61,0.34%,-7.15%,,,,
4324,1960-02-01,52.3,0.011,56.12,1.28%,0.92%,,,,
4352,1960-02-29,52.3,0.011,56.12,1.28%,0.92%,,,,
4353,1960-03-01,47.8,0.011,55.34,-0.18%,-1.39%,,,,
4383,1960-03-31,47.8,0.093,55.34,-0.18%,-1.39%,,,,
4384,1960-04-01,45.3,0.093,54.37,-5.59%,-1.75%,,,,
4413,1960-04-30,45.3,0.093,54.37,-5.59%,-1.75%,,,,
4414,1960-05-01,42.6,0.093,55.83,-4.86%,2.69%,,,,
4444,1960-05-31,42.6,0.093,55.83,-4.86%,2.69%,,,,
4445,1960-06-01,44.4,0.093,56.92,-2.65%,1.95%,,,,
4474,1960-06-30,44.4,-0.021,56.92,-2.65%,1.95%,,,,
4475,1960-07-01,43.7,-0.021,55.51,-8.26%,-2.48%,,,,
4505,1960-07-31,43.7,-0.021,55.51,-8.26%,-2.48%,,,,
4506,1960-08-01,47.6,-0.021,56.96,-4.43%,2.61%,,,,
4536,1960-08-31,47.6,-0.021,56.96,-4.43%,2.61%,,,,
4537,1960-09-01,45.4,-0.021,53.52,-5.91%,-6.04%,,,,
4566,1960-09-30,45.4,0.02,53.52,-5.91%,-6.04%,,,,
4567,1960-10-01,46.0,0.02,53.39,-7.18%,-0.24%,,,,
4597,1960-10-31,46.0,0.02,53.39,-7.18%,-0.24%,,,,
4598,1960-11-01,44.3,0.02,55.54,-4.70%,4.03%,,,,
4627,1960-11-30,44.3,0.02,55.54,-4.70%,4.03%,,,,
4628,1960-12-01,44.3,0.02,58.11,-2.97%,4.63%,,,,
4658,1960-12-31,44.3,-0.05,58.11,-2.97%,4.63%,,,,
4659,1961-01-01,43.9,-0.05,61.78,11.10%,6.32%,,,,
4689,1961-01-31,43.9,-0.05,61.78,11.10%,6.32%,,,,
4690,1961-02-01,43.6,-0.05,63.44,13.04%,2.69%,,,,
4717,1961-02-28,43.6,-0.05,63.44,13.04%,2.69%,,,,
4718,1961-03-01,49.1,-0.05,65.06,17.56%,2.55%,,,,
4748,1961-03-31,49.1,0.027,65.06,17.56%,2.55%,,,,
4749,1961-04-01,57.6,0.027,65.31,20.12%,0.38%,,,,
4778,1961-04-30,57.6,0.027,65.31,20.12%,0.38%,,,,
4779,1961-05-01,58.9,0.027,66.56,19.22%,1.91%,,,,
