Indicator Name,file_path,URL,
Dow Jones Industrial Average (^DJI),^DJI.csv,https://query1.finance.yahoo.com/v7/finance/download/%5EDJI?period1=475804800&period2=1602028800&interval=1d&events=history&includeAdjustedClose=true,
S&P 500 (^GSPC),^GSPC.csv,https://query1.finance.yahoo.com/v7/finance/download/%5EGSPC?period1=-1325635200&period2=1602028800&interval=1d&events=history,
Treasury Yield 10 Years (^TNX),^TNX.csv,https://query1.finance.yahoo.com/v7/finance/download/%5ETNX?period1=-252374400&period2=1602028800&interval=1d&events=history,
CBOE Volatility Index (^VIX),^VIX.csv,https://query1.finance.yahoo.com/v7/finance/download/%5EVIX?period1=631238400&period2=1602028800&interval=1d&events=history,
Apple Inc. (AAPL),AAPL.csv,https://query1.finance.yahoo.com/v7/finance/download/AAPL?period1=345427200&period2=1602028800&interval=1d&events=history,
Alibaba Group Holding Limited (BABA),BABA.csv,https://query1.finance.yahoo.com/v7/finance/download/BABA?period1=1411084800&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true,
Bitcoin USD (BTC-USD),BTC-USD.csv,https://query1.finance.yahoo.com/v7/finance/download/BTC-USD?period1=1410825600&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true,
BYD Company Limited (BYDDF),BYDDF.csv,https://query1.finance.yahoo.com/v7/finance/download/BYDDF?period1=1234483200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,
CRISPR Therapeutics AG (CRSP),CRSP.csv,https://query1.finance.yahoo.com/v7/finance/download/CRSP?period1=1476835200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,
Geely Automobile Holdings Limited (GELYF),GELYF.csv,https://query1.finance.yahoo.com/v7/finance/download/GELYF?period1=1167782400&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,
Gold Dec 20 (GC=F),GOLD.csv,https://query1.finance.yahoo.com/v7/finance/download/GC=F?period1=967593600&period2=1602028800&interval=1d&events=history,
"The Home Depot, Inc. (HD)",HD.csv,https://query1.finance.yahoo.com/v7/finance/download/HD?period1=369964800&period2=1602028800&interval=1d&events=history,
Li Auto Inc. (LI),LI.csv,https://query1.finance.yahoo.com/v7/finance/download/LI?period1=1596067200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,
NIO Limited (NIO),NIO.csv,https://query1.finance.yahoo.com/v7/finance/download/NIO?period1=1536710400&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true,
Neuberger Berman Mid Cap Growth Fund Class R6 (NRMGX),NRMGX.csv,https://query1.finance.yahoo.com/v7/finance/download/NRMGX?period1=1363305600&period2=1602028800&interval=1d&events=history,
NVIDIA Corporation (NVDA),NVDA.csv,https://query1.finance.yahoo.com/v7/finance/download/NVDA?period1=916963200&period2=1602028800&interval=1d&events=history,
American Funds EuroPacific Growth Fund Class R-6 (RERGX),RERGX.csv,https://query1.finance.yahoo.com/v7/finance/download/RERGX?period1=1241136000&period2=1602028800&interval=1d&events=history,
Lordstown Motors Corp. (RIDE),RIDE.csv,https://query1.finance.yahoo.com/v7/finance/download/RIDE?period1=1555545600&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true,
Daily total sunspot number (http://www.sidc.be/),SUN_SPOTS.csv,http://www.sidc.be/silso/INFO/sndtotcsv.php,
T. Rowe Price Institutional Large Cap Core Growth Fund (TPLGX),TPLGX.csv,https://query1.finance.yahoo.com/v7/finance/download/TPLGX?period1=1568730349&period2=1602028800&interval=1d&events=history,
"Tesla, Inc. (TSLA)",TSLA.csv,https://query1.finance.yahoo.com/v7/finance/download/TSLA?period1=1277769600&period2=1602028800&interval=1d&events=history,
United States Building Permits,united-states.building-permits.csv,https://www.mql5.com/en/economic-calendar/united-states/building-permits/export,
Federal Reserve Bank (Fed) of Dallas Manufacturing Index,united-states.dallas-fed-manufacturing-business-index.csv,https://www.mql5.com/en/economic-calendar/united-states/dallas-fed-manufacturing-business-index/export,
United States Gross Domestic Product (GDP) q/q,united-states.gross-domestic-product-qq.csv,https://www.mql5.com/en/economic-calendar/united-states/gross-domestic-product-qq/export,
United States Housing Starts m/m,united-states.housing-starts-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/housing-starts-mm/export,
Federal Reserve System (Fed) Industrial Production m/m,united-states.industrial-production-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/industrial-production-mm/export,
Federal Reserve System (Fed) Industrial Production m/m,united-states.industrial-production-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/industrial-production-mm/export,
United States Initial Jobless Claims,united-states.initial-jobless-claims.csv,https://www.mql5.com/en/economic-calendar/united-states/initial-jobless-claims/export,
ISM Manufacturing Employment,united-states.ism-manufacturing-employment.csv,https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-employment/export,
ISM United States Manufacturing Purchasing Managers Index (PMI),united-states.ism-manufacturing-pmi.csv,https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-pmi/export,
United States Pending Home Sales m/m,united-states.pending-home-sales-mm.csv,https://www.mql5.com/en/economic-calendar/united-states/pending-home-sales-mm/export,
United States Unemployment Rate,united-states.unemployment-rate.csv ,https://www.mql5.com/en/economic-calendar/united-states/unemployment-rate/export,
Vanguard Total Bond Market Index Fund Admiral Shares (VBTLX),VBTLX.csv,https://query1.finance.yahoo.com/v7/finance/download/VBTLX?period1=1005523200&period2=1602028800&interval=1d&events=history,
Vanguard Institutional Index Fund Institutional Shares (VINIX),VINIX.csv,https://query1.finance.yahoo.com/v7/finance/download/VINIX?period1=649382400&period2=1602028800&interval=1d&events=history,
