Rata_Die,Date,DJIA_Original,DJIA_Quantized,DJIA_Avg030,DJIA_Avg060,DJIA_Avg090,DJIA_Avg120,DJIA_Avg180,DJIA_Avg365,mnfc_epmlt_Original,mnfc_epmlt_Quantized,mnfc_epmlt_Avg030,mnfc_epmlt_Avg060,mnfc_epmlt_Avg090,mnfc_epmlt_Avg120,mnfc_epmlt_Avg180,mnfc_epmlt_Avg365,mnfc_PMI_Original,mnfc_PMI_Quantized,mnfc_PMI_Avg030,mnfc_PMI_Avg060,mnfc_PMI_Avg090,mnfc_PMI_Avg180,mnfc_PMI_Avg365,VIX_Original,VIX_Quantized,VIX_Avg030,VIX_Avg060,VIX_Avg090,VIX_Avg120,VIX_Avg180,VIX_Avg365
735975,2016-01-12,16591.349609,7.0,13.9,15.67,15.96,13.93,13.48,16.47,48.1,32.0,49.5,45.03,43.96,13.93,13.48,16.47,48.2,11.0,13.1,17.52,21.21,13.48,16.47,23.93,-82.0,-90.5,-94.6,-98.42,13.93,13.48,16.47
735976,2016-01-13,16593.509766,7.0,13.67,15.53,15.9,13.92,13.41,16.44,48.1,32.0,48.67,45.1,43.74,13.92,13.41,16.44,48.2,11.0,13.0,17.23,21.01,13.41,16.44,26.110001,-75.0,-90.6,-94.32,-98.13,13.92,13.41,16.44
735977,2016-01-14,16482.050781,6.0,13.33,15.38,15.82,13.91,13.32,16.41,48.1,32.0,47.83,45.17,43.53,13.91,13.32,16.41,48.2,11.0,12.9,16.95,20.81,13.32,16.41,26.280001,-74.0,-90.1,-94.02,-97.8,13.91,13.32,16.41
735978,2016-01-15,16354.330078,5.0,12.9,15.22,15.73,13.87,13.23,16.38,48.1,32.0,47.0,45.23,43.32,13.87,13.23,16.38,48.2,11.0,12.8,16.67,20.61,13.23,16.38,30.950001,-59.0,-88.97,-93.47,-97.3,13.87,13.23,16.38
735979,2016-01-16,16354.330078,5.0,12.47,15.03,15.64,13.84,13.14,16.36,48.1,32.0,46.17,45.3,43.11,13.84,13.14,16.36,48.2,11.0,12.7,16.38,20.41,13.14,16.36,30.950001,-59.0,-87.7,-92.87,-96.8,13.84,13.14,16.36
735980,2016-01-17,16354.330078,5.0,12.13,14.83,15.56,13.82,13.06,16.33,48.1,32.0,45.33,45.37,42.9,13.82,13.06,16.33,48.2,11.0,12.6,16.1,20.21,13.06,16.33,30.950001,-59.0,-86.87,-92.25,-96.28,13.82,13.06,16.33
735981,2016-01-18,16354.330078,5.0,11.8,14.63,15.47,13.79,12.98,16.3,48.1,32.0,44.5,45.43,42.69,13.79,12.98,16.3,48.2,11.0,12.5,15.82,20.01,12.98,16.3,30.950001,-59.0,-86.03,-91.57,-95.76,13.79,12.98,16.3
735982,2016-01-19,16171.959961,3.0,11.4,14.37,15.36,13.76,12.9,16.27,48.1,32.0,43.67,45.5,42.48,13.76,12.9,16.27,48.2,11.0,12.4,15.53,19.81,12.9,16.27,27.59,-70.0,-85.57,-90.97,-95.37,13.76,12.9,16.27
735983,2016-01-20,15989.450195,2.0,11.03,14.08,15.21,13.72,12.82,16.23,48.1,32.0,42.83,45.57,42.27,13.72,12.82,16.23,48.2,11.0,12.3,15.25,19.61,12.82,16.23,32.09,-56.0,-84.33,-90.13,-94.8,13.72,12.82,16.23
735984,2016-01-21,16038.589844,2.0,10.6,13.8,15.04,13.7,12.73,16.19,48.1,32.0,42.0,45.63,42.06,13.7,12.73,16.19,48.2,11.0,12.2,14.97,19.41,12.73,16.19,28.43,-67.0,-83.23,-89.48,-94.32,13.7,12.73,16.19
