Rata_Die,Date,Original,Quantized,Avg030,Avg060,Avg090,Avg180,Avg365
735975,2016-01-12,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735976,2016-01-13,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735977,2016-01-14,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735978,2016-01-15,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735979,2016-01-16,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735980,2016-01-17,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735981,2016-01-18,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735982,2016-01-19,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735983,2016-01-20,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735984,2016-01-21,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735985,2016-01-22,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735986,2016-01-23,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735987,2016-01-24,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735988,2016-01-25,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735989,2016-01-26,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735990,2016-01-27,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735991,2016-01-28,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735992,2016-01-29,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735993,2016-01-30,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735994,2016-01-31,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735995,2016-02-01,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735996,2016-02-02,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735997,2016-02-03,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735998,2016-02-04,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
735999,2016-02-05,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
736000,2016-02-06,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
736001,2016-02-07,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
736002,2016-02-08,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
736003,2016-02-09,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0
736004,2016-02-10,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736005,2016-02-11,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736006,2016-02-12,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736007,2016-02-13,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736008,2016-02-14,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736009,2016-02-15,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736010,2016-02-16,-2.5,-1.0,-1.0,0.0,0.0,0.0,0.0
736011,2016-02-17,-3.8,-7.0,-1.2,0.0,0.0,0.0,0.0
736011,2016-02-17,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736012,2016-02-18,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736013,2016-02-19,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736014,2016-02-20,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736015,2016-02-21,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736016,2016-02-22,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736017,2016-02-23,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736018,2016-02-24,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736019,2016-02-25,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736020,2016-02-26,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736021,2016-02-27,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736022,2016-02-28,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736023,2016-02-29,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736024,2016-03-01,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736025,2016-03-02,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736026,2016-03-03,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736027,2016-03-04,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736028,2016-03-05,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736029,2016-03-06,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736030,2016-03-07,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736031,2016-03-08,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736032,2016-03-09,-2.5,-1.0,-1.2,0.0,0.0,0.0,0.0
736033,2016-03-10,-2.5,-1.0,-1.2,-1.1,0.0,0.0,0.0
736034,2016-03-11,-2.5,-1.0,-1.2,-1.1,0.0,0.0,0.0
736035,2016-03-12,-2.5,-1.0,-1.2,-1.1,0.0,0.0,0.0
736036,2016-03-13,-2.5,-1.0,-1.2,-1.1,0.0,0.0,0.0
736037,2016-03-14,-2.5,-1.0,-1.2,-1.1,0.0,0.0,0.0
736038,2016-03-15,-2.5,-1.0,-1.2,-1.1,0.0,0.0,0.0
736039,2016-03-16,5.2,34.0,-0.03,-0.52,0.0,0.0,0.0
736039,2016-03-16,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736040,2016-03-17,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736041,2016-03-18,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736042,2016-03-19,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736043,2016-03-20,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736044,2016-03-21,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736045,2016-03-22,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736046,2016-03-23,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736047,2016-03-24,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736048,2016-03-25,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736049,2016-03-26,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736050,2016-03-27,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736051,2016-03-28,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736052,2016-03-29,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736053,2016-03-30,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736054,2016-03-31,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736055,2016-04-01,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736056,2016-04-02,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736057,2016-04-03,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736058,2016-04-04,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736059,2016-04-05,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736060,2016-04-06,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736061,2016-04-07,-2.5,-1.0,0.17,-0.52,0.0,0.0,0.0
736062,2016-04-08,-2.5,-1.0,0.17,-0.52,-0.68,0.0,0.0
736063,2016-04-09,-2.5,-1.0,0.17,-0.52,-0.68,0.0,0.0
736064,2016-04-10,-2.5,-1.0,0.17,-0.52,-0.68,0.0,0.0
