Rata_Die,Date,Original,Quantized,Avg030,Avg060,Avg090,Avg120,Avg180,Avg365
735173,2013-11-01,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735174,2013-11-02,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735175,2013-11-03,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735176,2013-11-04,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735177,2013-11-05,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735178,2013-11-06,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735179,2013-11-07,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735180,2013-11-08,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735181,2013-11-09,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735182,2013-11-10,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735183,2013-11-11,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735184,2013-11-12,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735185,2013-11-13,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735186,2013-11-14,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735187,2013-11-15,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735188,2013-11-16,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735189,2013-11-17,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735190,2013-11-18,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735191,2013-11-19,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735192,2013-11-20,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735193,2013-11-21,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735194,2013-11-22,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735195,2013-11-23,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735196,2013-11-24,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735197,2013-11-25,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735198,2013-11-26,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735199,2013-11-27,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735200,2013-11-28,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735201,2013-11-29,53.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0
735202,2013-11-30,53.2,72.0,72.0,0.0,0.0,0.0,0.0,0.0
735203,2013-12-01,53.2,72.0,72.0,0.0,0.0,0.0,0.0,0.0
735204,2013-12-02,56.5,97.0,72.83,0.0,0.0,0.0,0.0,0.0
735205,2013-12-03,56.5,97.0,73.67,0.0,0.0,0.0,0.0,0.0
