Rata_Die,Date,Original,Quantized,Avg030,Avg060,Avg090,Avg180,Avg365
732736,2007-03-01,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732737,2007-03-02,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732738,2007-03-03,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732739,2007-03-04,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732740,2007-03-05,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732741,2007-03-06,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732742,2007-03-07,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732743,2007-03-08,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732744,2007-03-09,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732745,2007-03-10,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732746,2007-03-11,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732747,2007-03-12,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732748,2007-03-13,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732749,2007-03-14,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732750,2007-03-15,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732751,2007-03-16,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732752,2007-03-17,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732753,2007-03-18,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732754,2007-03-19,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732755,2007-03-20,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732756,2007-03-21,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732757,2007-03-22,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732758,2007-03-23,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732759,2007-03-24,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732760,2007-03-25,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732761,2007-03-26,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732762,2007-03-27,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732763,2007-03-28,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732764,2007-03-29,52.3,47.0,0.0,0.0,0.0,0.0,0.0
732765,2007-03-30,52.3,47.0,47.0,0.0,0.0,0.0,0.0
732766,2007-03-31,52.3,47.0,47.0,0.0,0.0,0.0,0.0
732767,2007-04-01,52.3,47.0,47.0,0.0,0.0,0.0,0.0
732768,2007-04-02,50.9,35.0,46.6,0.0,0.0,0.0,0.0
732769,2007-04-03,50.9,35.0,46.2,0.0,0.0,0.0,0.0
732770,2007-04-04,50.9,35.0,45.8,0.0,0.0,0.0,0.0
732771,2007-04-05,50.9,35.0,45.4,0.0,0.0,0.0,0.0
732772,2007-04-06,50.9,35.0,45.0,0.0,0.0,0.0,0.0
732773,2007-04-07,50.9,35.0,44.6,0.0,0.0,0.0,0.0
732774,2007-04-08,50.9,35.0,44.2,0.0,0.0,0.0,0.0
732775,2007-04-09,50.9,35.0,43.8,0.0,0.0,0.0,0.0
732776,2007-04-10,50.9,35.0,43.4,0.0,0.0,0.0,0.0
732777,2007-04-11,50.9,35.0,43.0,0.0,0.0,0.0,0.0
732778,2007-04-12,50.9,35.0,42.6,0.0,0.0,0.0,0.0
732779,2007-04-13,50.9,35.0,42.2,0.0,0.0,0.0,0.0
732780,2007-04-14,50.9,35.0,41.8,0.0,0.0,0.0,0.0
732781,2007-04-15,50.9,35.0,41.4,0.0,0.0,0.0,0.0
732782,2007-04-16,50.9,35.0,41.0,0.0,0.0,0.0,0.0
732783,2007-04-17,50.9,35.0,40.6,0.0,0.0,0.0,0.0
732784,2007-04-18,50.9,35.0,40.2,0.0,0.0,0.0,0.0
732785,2007-04-19,50.9,35.0,39.8,0.0,0.0,0.0,0.0
732786,2007-04-20,50.9,35.0,39.4,0.0,0.0,0.0,0.0
732787,2007-04-21,50.9,35.0,39.0,0.0,0.0,0.0,0.0
732788,2007-04-22,50.9,35.0,38.6,0.0,0.0,0.0,0.0
732789,2007-04-23,50.9,35.0,38.2,0.0,0.0,0.0,0.0
732790,2007-04-24,50.9,35.0,37.8,0.0,0.0,0.0,0.0
732791,2007-04-25,50.9,35.0,37.4,0.0,0.0,0.0,0.0
732792,2007-04-26,50.9,35.0,37.0,0.0,0.0,0.0,0.0
732793,2007-04-27,50.9,35.0,36.6,0.0,0.0,0.0,0.0
732794,2007-04-28,50.9,35.0,36.2,0.0,0.0,0.0,0.0
732795,2007-04-29,50.9,35.0,35.8,41.4,0.0,0.0,0.0
732796,2007-04-30,50.9,35.0,35.4,41.2,0.0,0.0,0.0
732797,2007-05-01,54.7,68.0,36.1,41.55,0.0,0.0,0.0
732798,2007-05-02,54.7,68.0,37.2,41.9,0.0,0.0,0.0
732799,2007-05-03,54.7,68.0,38.3,42.25,0.0,0.0,0.0
732800,2007-05-04,54.7,68.0,39.4,42.6,0.0,0.0,0.0
732801,2007-05-05,54.7,68.0,40.5,42.95,0.0,0.0,0.0
732802,2007-05-06,54.7,68.0,41.6,43.3,0.0,0.0,0.0
732803,2007-05-07,54.7,68.0,42.7,43.65,0.0,0.0,0.0
732804,2007-05-08,54.7,68.0,43.8,44.0,0.0,0.0,0.0
732805,2007-05-09,54.7,68.0,44.9,44.35,0.0,0.0,0.0
732806,2007-05-10,54.7,68.0,46.0,44.7,0.0,0.0,0.0
732807,2007-05-11,54.7,68.0,47.1,45.05,0.0,0.0,0.0
732808,2007-05-12,54.7,68.0,48.2,45.4,0.0,0.0,0.0
732809,2007-05-13,54.7,68.0,49.3,45.75,0.0,0.0,0.0
732810,2007-05-14,54.7,68.0,50.4,46.1,0.0,0.0,0.0
732811,2007-05-15,54.7,68.0,51.5,46.45,0.0,0.0,0.0
732812,2007-05-16,54.7,68.0,52.6,46.8,0.0,0.0,0.0
732813,2007-05-17,54.7,68.0,53.7,47.15,0.0,0.0,0.0
732814,2007-05-18,54.7,68.0,54.8,47.5,0.0,0.0,0.0
732815,2007-05-19,54.7,68.0,55.9,47.85,0.0,0.0,0.0
732816,2007-05-20,54.7,68.0,57.0,48.2,0.0,0.0,0.0
732817,2007-05-21,54.7,68.0,58.1,48.55,0.0,0.0,0.0
732818,2007-05-22,54.7,68.0,59.2,48.9,0.0,0.0,0.0
