Date	ActualValue	ForecastValue	PreviousValue
2020.08.31	8.0	-33.5	-3.0
2020.07.27	-3.0	0.5	-6.1
2020.06.29	-6.1	-59.0	-49.2
2020.05.26	-49.2	10.6	-74.0
2020.04.27	-73.7	-213.7	-70.0
2020.03.30	-70.0	6.2	1.2
2020.02.24	1.2	11.8	-0.2
2020.01.27	-0.2	-3.1	-3.2
2019.12.30	-3.2	1.5	-1.3
2019.11.25	-1.3	-11.3	-5.1
2019.10.28	-5.1	1.4	1.5
2019.09.30	1.5	-2.3	2.7
2019.08.26	2.7	-0.3	-6.3
2019.07.29	-6.3	-5.1	-12.1
2019.06.24	-12.1	4.8	-5.3
2019.05.28	-5.3	11.1	2.0
2019.04.29	2.0	-2.6	6.9
2019.03.25	8.3	7.0	13.1
2019.02.25	13.1	3.5	1.0
2019.01.28	1.0	-17.0	-5.1
2018.12.31	-5.1	17.6	17.6
2018.11.26	17.6	26.0	29.4
2018.10.29	29.4	25.0	28.1
2018.09.24	28.1	29.1	30.9
2018.08.27	30.9	36.9	32.3
2018.07.30	32.3	23.7	36.5
2018.06.25	36.5	18.2	26.8
2018.05.29	26.8	23.3	21.8
2018.04.30	21.8	29.1	22.8
2018.03.26	21.4	33.4	37.2
2018.02.26	37.2	28.4	33.4
2018.01.29	33.4	14.6	29.7
2017.12.26	29.7	15.6	19.4
2017.11.27	19.4	20.9	27.6
2017.10.30	27.6	20.8	21.3
2017.09.25	21.3	13.1	17.0
2017.08.28	17.0	18.9	16.8
2017.07.31	16.8		15.0
2017.06.26	15.0		17.2
2017.05.30	17.2		16.8
2017.04.24	16.8		16.9
2017.03.27	16.9		24.5
2017.02.27	24.5		22.1
2017.01.30	22.1		15.5
2016.12.27	15.5		10.2
2016.11.28	10.2		-1.5
2016.10.31	-1.5		-3.7
2016.09.26	-3.7		-6.2
2016.08.29	-6.2		-1.3
2016.07.25	-1.3		-18.3
2016.06.27	-18.3		-20.8
2016.05.31	-20.8		-13.9
2016.04.25	-13.9		-13.6
2016.03.28	-13.6		-31.8
2016.02.29	-31.8		-34.6
2016.01.25	-34.6		-21.6
2015.12.28	-20.1		-4.9
2015.11.30	-4.9		-12.7
2015.10.26	-12.7		-9.5
2015.09.28	-9.5		-15.8
2015.08.31	-15.8		-4.6
2015.07.27	-4.6		-7.0
2015.06.29	-7.0		-20.8
2015.05.26	-20.8		-16.0
2015.04.27	-16.0		-17.4
2015.03.30	-17.4		-11.2
2015.02.23	-11.2		-4.4
2015.01.26	-4.4		4.1
2014.12.29	3.5		10.5
2014.11.24	10.5		10.5
2014.10.27	10.5		10.8
2014.09.29	10.8		7.1
2014.08.25	7.1		12.7
2014.07.28	12.7		11.4
2014.06.30	11.4		8.0
2014.05.27	8.0		11.7
2014.04.28	11.7		4.9
2014.03.31	4.9		0.3
2014.02.24	0.3		3.8
2014.01.27	3.8		3.1
2013.12.30	3.7		1.9
2013.11.25	1.9		3.6
2013.10.28	3.6		12.8
2013.09.30	12.8		5.0
2013.08.26	5.0		4.4
2013.07.29	4.4		6.5
2013.06.24	6.5		-10.5
2013.05.28	-10.5		-15.6
2013.04.29	-15.6		7.4
2013.03.25	7.4		2.2
2013.02.25	2.2		5.5
2013.01.28	5.5		6.8
2012.12.31	2.5		-2.8
2012.11.26	-2.8		1.8
2012.10.29	1.8		-0.9
2012.09.24	-0.9		-1.6
2012.08.27	-1.6		-13.2
2012.07.30	-13.2		5.8
2012.06.25	5.8		-5.1
2012.05.29	-5.1		-3.4
2012.04.30	-3.4		10.8
2012.03.26	10.8		17.8
2012.02.27	17.8		
