Date	ActualValue	ForecastValue	PreviousValue
2020.09.17	-5.1	-0.2	17.9
2020.08.18	22.6	-0.1	17.5
2020.07.17	17.3	1.6	8.2
2020.06.17	4.3	245.5	-26.4
2020.05.19	-30.2	52.9	-18.6
2020.04.16	-22.3	6.4	-3.4
2020.03.18	-1.5	-4.9	1.4
2020.02.19	-3.6	-30.7	17.7
2020.01.17	16.9	-3.8	2.6
2019.12.17	3.2	2.5	4.5
2019.11.19	3.8	0.6	-7.9
2019.10.17	-9.4	-8.6	15.1
2019.09.18	12.3	4.5	-1.5
2019.08.16	-4.0	-1.7	-1.8
2019.07.17	-0.9	1.9	-0.4
2019.06.18	-0.9	-7.3	6.8
2019.05.16	5.7	-8.4	1.7
2019.04.19	-0.3	11.0	-12.0
2019.03.26	-8.7	-28.3	11.7
2019.03.08	18.6	3.8	-14.0
2019.02.26	-11.2	9.1	0.4
2018.12.18	3.2	0.0	-1.6
2018.11.20	1.5	14.6	-5.5
2018.10.17	-5.3	23.2	7.1
2018.09.19	9.2	1.1	-0.3
2018.08.16	0.9	4.5	-12.9
2018.07.18	-12.3	-4.0	4.8
2018.06.19	5.0	4.6	-3.1
2018.05.16	-3.7	4.8	3.6
2018.04.17	1.9	-6.7	-3.3
2018.03.16	-7.0	6.0	10.1
2018.02.16	9.7	-11.1	-6.9
2018.01.18	-8.2	-20.9	3.0
2017.12.19	3.3	-3.7	8.4
2017.11.17	13.7	3.7	-3.2
2017.10.18	-4.7	3.2	-0.2
2017.09.19	-0.8	4.7	-2.2
2017.08.16	-4.8	-3.5	7.4
2017.07.19	8.3	-0.3	-2.8
2017.06.16	-5.5	9.2	-2.8
2017.05.16	-2.6	9.0	-6.6
2017.04.18	-6.8		5.0
2017.03.16	3.0		-1.9
2017.02.16	-2.6		11.3
2017.01.19	11.3		-16.5
2016.12.16	-18.7		27.4
2016.11.17	25.5		-9.0
2016.10.19	-9.0		-5.8
2016.09.20	-5.8		1.4
2016.08.16	2.1		5.1
2016.07.19	4.8		-1.7
2016.06.17	-0.3		4.9
2016.05.17	6.6		-9.4
2016.04.19	-8.8		6.9
2016.03.16	5.2		-3.4
2016.02.17	-3.8		-2.8
2016.01.12	-2.5		
