Date	ActualValue	ForecastValue	PreviousValue
2020.09.01	46.4	36.5	44.3
2020.08.03	44.3	34.4	42.1
2020.07.01	42.1	38.1	32.1
2020.06.01	32.1	34.1	27.5
2020.05.01	27.5	44.8	43.8
2020.04.01	43.8	45.4	46.9
2020.03.02	46.9	43.9	46.6
2020.02.03	46.6	43.3	45.2
2020.01.03	45.1	53.5	46.6
2019.12.02	46.6	54.3	47.7
2019.11.01	47.7	54.7	46.3
2019.10.01	46.3	55.3	47.4
2019.09.03	47.4	56.0	51.7
2019.08.01	51.7	53.7	54.5
2019.07.01	54.5	54.1	53.7
2019.06.03	53.7	52.8	52.4
2019.05.01	52.4	56.7	57.5
2019.04.01	57.5	57.3	52.3
2019.03.01	52.3	57.8	55.5
2019.02.01	55.5	57.5	56.0
2019.01.03	56.2	58.1	58.4
2018.12.03	58.4	57.2	56.8
2018.11.01	56.8	56.9	58.8
2018.10.01	58.8	56.9	58.5
2018.09.04	58.5	56.3	56.5
2018.08.01	56.5	56.2	56.0
2018.07.02	56.0	55.3	56.3
2018.06.01	56.3	55.8	54.2
2018.05.01	54.2	58.6	57.3
2018.04.02	57.3	57.2	59.7
2018.03.01	59.7	55.9	54.2
2018.02.01	54.2	59.7	58.1
2018.01.03	57.0	61.4	59.7
2017.12.01	59.7	63.5	59.8
2017.11.01	59.8	58.5	60.3
2017.10.02	60.3	55.8	59.9
2017.09.01	59.9	54.7	55.2
2017.08.01	55.2		57.2
2017.07.03	57.2		53.5
2017.06.01	53.5		52.0
2017.05.01	52.0		58.9
2017.04.03	58.9		54.2
2017.03.01	54.2		56.1
2017.02.01	56.1		53.1
2017.01.03	53.1		52.3
2016.12.01	52.3		52.9
2016.11.01	52.9		49.7
2016.10.03	49.7		48.3
2016.09.01	48.3		49.4
2016.08.01	49.4		50.4
2016.07.01	50.4		49.2
2016.06.01	49.2		49.2
2016.05.02	49.2		48.1
2016.04.01	48.1		48.5
2016.03.01	48.5		45.9
2016.02.01	45.9		48.1
2016.01.04	48.1		51.3
2015.12.01	51.3		47.6
2015.11.02	47.6		50.5
2015.10.01	50.5		51.2
2015.09.01	51.2		52.7
2015.08.03	52.7		55.5
2015.07.01	55.5		51.7
2015.06.01	51.7		48.3
2015.05.01	48.3		50.0
2015.04.01	50.0		51.4
2015.03.02	51.4		54.1
2015.02.02	54.1		56.8
2015.01.02	56.8		54.9
2014.12.01	54.9		55.5
2014.11.03	55.5		54.6
2014.10.01	54.6		58.1
2014.09.02	58.1		58.2
2014.08.01	58.2		52.8
2014.07.01	52.8		52.8
2014.06.02	52.8		54.7
2014.05.01	54.7		51.1
2014.04.01	51.1		52.3
2014.03.03	52.3		52.3
2014.02.03	52.3		56.9
2014.01.02	56.9		56.5
2013.12.02	56.5		53.2
2013.11.01	53.2		
